Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total
AREA # 070108,Shwegyin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,477,4388,4865
 Rural,651,16266,16917
 Total,1128,20654,21782
NotApp :,240,*,*
AREA # 070201,Toungoo,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1876,20024,21900
 Rural,672,34888,35560
 Total,2548,54912,57460
NotApp :,871,*,*
AREA # 070202,Yaedashe,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,523,5432,5955
 Rural,877,43695,44572
 Total,1400,49127,50527
NotApp :,460,*,*
AREA # 070203,Kyaukkyi,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,104,2154,2258
 Rural,1082,19543,20625
 Total,1186,21697,22883
NotApp :,203,*,*
AREA # 070204,Pyu,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1135,12692,13827
 Rural,1153,39951,41104
 Total,2288,52643,54931
NotApp :,386,*,*
AREA # 070205,Oatwin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,181,3028,3209
 Rural,555,33106,33661
 Total,736,36134,36870
NotApp :,276,*,*
AREA # 070206,Htantapin,*,*
