Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total
AREA # 050851,Mobaingluk(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,29,181,210
 Rural,-,100,100
 Total,29,281,310
NotApp :,2,*,*
AREA # 050852,Sonemara(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,109,177,286
 Rural,419,489,908
 Total,528,666,1194
NotApp :,10,*,*
AREA # 050853,Htanparkway(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,-,128,128
 Rural,4,629,633
 Total,4,757,761
NotApp :,9,*,*
AREA # 050854,Pansaung(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,146,192,338
 Rural,172,1839,2011
 Total,318,2031,2349
NotApp :,5,*,*
AREA # 050855,Donhee(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,-,169,169
 Rural,226,3528,3754
 Total,226,3697,3923
NotApp :,10,*,*
AREA # 050901,Yinmarpin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,55,1022,1077
 Rural,13518,14937,28455
 Total,13573,15959,29532
NotApp :,265,*,*
AREA # 050902,Salingyi,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,125,1097,1222
 Rural,7684,17561,25245
 Total,7809,18658,26467
NotApp :,384,*,*
AREA # 050903,Palae,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,136,795,931
 Rural,17734,13697,31431
 Total,17870,14492,32362
NotApp :,338,*,*
AREA # 050904,Kani,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,194,944,1138
 Rural,16278,11807,28085
 Total,16472,12751,29223
NotApp :,351,*,*
AREA # 060101,Dawei,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,146,15236,15382
 Rural,1037,8524,9561
 Total,1183,23760,24943
