Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Total,24722,1598,26320
NotApp :,869,*,*
AREA # 150204,Dekkhinathiri,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,212,19,231
 Bungalow/Brick house,145,109,254
 Semi-pacca house,46,201,247
 Wooden house,292,3422,3714
 Bamboo,146,2230,2376
 Hut 2 - 3 years,9,75,84
 Hut 1 year,24,19,43
 Other,34,14,48
 Total,908,6089,6997
NotApp :,205,*,*
SUMMARY,*,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,376874,111611,488485
 Bungalow/Brick house,405629,332594,738223
 Semi-pacca house,335333,375742,711075
 Wooden house,1141465,3340919,4482384
 Bamboo,720166,3344690,4064856
 Hut 2 - 3 years,25678,181095,206773
 Hut 1 year,15076,81263,96339
 Other,29212,60485,89697
 Total,3049433,7828399,10877832
NotApp :,137752,*,*
