Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1224,13474,14698
 Grade 1,939,6972,7911
 Grade 2,1171,10039,11210
 Grade 3,1460,13541,15001
 Grade 4,3289,28625,31914
 Grade 5,2314,23880,26194
 Grade 6,1314,7958,9272
 Grade 7,1437,7351,8788
 Grade 8,1675,7087,8762
 Grade 9,1882,5840,7722
 Grade 10,2015,7152,9167
 Grade 11,1056,1226,2282
 College,660,1258,1918
 Vocational training,49,53,102
 Undergraduate diploma,104,136,240
 Graduate,2264,2563,4827
 Postgraduate diploma,20,54,74
 Master degree,12,15,27
 PhD,1,3,4
 Other,51,1102,1153
 Total,22937,138329,161266
NotApp :,16141,*,*
AREA # 070403,Minhla,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,530,7098,7628
 Grade 1,271,4591,4862
 Grade 2,467,7956,8423
 Grade 3,638,9445,10083
 Grade 4,1368,26654,28022
 Grade 5,1194,15415,16609
 Grade 6,586,5531,6117
 Grade 7,608,5323,5931
 Grade 8,835,5559,6394
 Grade 9,877,4541,5418
 Grade 10,1430,4725,6155
 Grade 11,274,753,1027
 College,367,932,1299
 Vocational training,23,72,95
 Undergraduate diploma,50,108,158
 Graduate,1290,2076,3366
 Postgraduate diploma,18,39,57
 Master degree,24,26,50
 PhD,2,4,6
 Other,84,708,792
 Total,10936,101556,112492
NotApp :,9999,*,*
AREA # 070404,Okpo,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,545,9830,10375
 Grade 1,457,4451,4908
 Grade 2,520,6907,7427
 Grade 3,635,9378,10013
 Grade 4,1996,25651,27647
 Grade 5,887,17496,18383
 Grade 6,582,6031,6613
 Grade 7,636,5523,6159
 Grade 8,806,5488,6294
 Grade 9,622,4216,4838
 Grade 10,1222,5182,6404
 Grade 11,245,1271,1516
 College,360,1101,1461
 Vocational training,17,61,78
 Undergraduate diploma,37,135,172
 Graduate,1045,2174,3219
 Postgraduate diploma,20,60,80
 Master degree,9,15,24
 PhD,-,2,2
 Other,9,1003,1012
 Total,10650,105975,116625
NotApp :,10037,*,*
AREA # 070405,Zigon,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,551,3125,3676
 Grade 1,372,1422,1794
 Grade 2,509,2017,2526
 Grade 3,718,3235,3953
 Grade 4,1753,8231,9984
 Grade 5,1885,13578,15463
 Grade 6,857,3166,4023
 Grade 7,954,2899,3853
 Grade 8,1057,3006,4063
 Grade 9,1146,2469,3615
 Grade 10,1612,2895,4507
 Grade 11,699,896,1595
 College,428,429,857
 Vocational training,27,49,76
 Undergraduate diploma,57,94,151
 Graduate,1467,1058,2525
 Postgraduate diploma,32,12,44
 Master degree,11,8,19
 PhD,-,1,1
 Other,42,43,85
 Total,14177,48633,62810
NotApp :,4713,*,*
AREA # 070406,Nattalin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,898,11345,12243
 Grade 1,401,4581,4982
 Grade 2,639,7357,7996
 Grade 3,864,10760,11624
 Grade 4,3161,26076,29237
 Grade 5,1801,39040,40841
 Grade 6,952,8427,9379
 Grade 7,1131,7548,8679
 Grade 8,1396,7443,8839
 Grade 9,1264,5938,7202
 Grade 10,2145,7001,9146
 Grade 11,585,1682,2267
 College,493,1204,1697
 Vocational training,32,123,155
 Undergraduate diploma,83,156,239
 Graduate,1830,2864,4694
 Postgraduate diploma,34,37,71
 Master degree,24,17,41
 PhD,6,-,6
 Other,20,1216,1236
 Total,17759,142815,160574
NotApp :,11567,*,*
AREA # 070407,Monyo,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,388,9961,10349
 Grade 1,321,5172,5493
 Grade 2,568,7712,8280
 Grade 3,620,10093,10713
 Grade 4,1063,23333,24396
 Grade 5,1258,20270,21528
 Grade 6,540,6119,6659
 Grade 7,443,5664,6107
 Grade 8,542,5298,5840
 Grade 9,704,4624,5328
 Grade 10,846,4515,5361
 Grade 11,413,949,1362
 College,237,984,1221
 Vocational training,10,73,83
 Undergraduate diploma,16,123,139
 Graduate,768,1914,2682
 Postgraduate diploma,8,14,22
 Master degree,2,10,12
 PhD,1,2,3
 Other,19,1594,1613
 Total,8767,108424,117191
NotApp :,10379,*,*
AREA # 070408,Gyobingauk,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,769,5364,6133
 Grade 1,663,2810,3473
 Grade 2,912,4100,5012
 Grade 3,1103,5888,6991
 Grade 4,3866,24933,28799
 Grade 5,1817,17423,19240
 Grade 6,1121,4959,6080
 Grade 7,1384,4656,6040
 Grade 8,1686,4943,6629
 Grade 9,1601,3676,5277
 Grade 10,2446,4369,6815
 Grade 11,795,1172,1967
 College,661,823,1484
 Vocational training,55,72,127
 Undergraduate diploma,147,105,252
 Graduate,2322,1906,4228
 Postgraduate diploma,56,37,93
 Master degree,12,12,24
 PhD,9,2,11
 Other,73,710,783
 Total,21498,87960,109458
NotApp :,7975,*,*
AREA # 080101,Magway,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,5354,32888,38242
 Grade 1,1806,5700,7506
 Grade 2,2366,8565,10931
 Grade 3,3347,12952,16299
 Grade 4,5466,17708,23174
 Grade 5,9627,42525,52152
 Grade 6,4627,10488,15115
 Grade 7,4050,8407,12457
 Grade 8,5223,8323,13546
 Grade 9,6300,8929,15229
 Grade 10,6951,6279,13230
 Grade 11,9710,5494,15204
 College,6054,2871,8925
 Vocational training,595,185,780
 Undergraduate diploma,805,432,1237
 Graduate,13704,4480,18184
 Postgraduate diploma,381,147,528
 Master degree,823,174,997
 PhD,121,23,144
 Other,337,1696,2033
 Total,87647,178266,265913
NotApp :,23334,*,*
AREA # 080102,Yenangyoung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2999,15128,18127
 Grade 1,1076,2598,3674
 Grade 2,1410,3984,5394
 Grade 3,2027,5793,7820
 Grade 4,3139,7453,10592
 Grade 5,5087,19328,24415
 Grade 6,2506,4553,7059
 Grade 7,2210,3961,6171
 Grade 8,2835,4098,6933
 Grade 9,3515,4532,8047
 Grade 10,2972,2546,5518
 Grade 11,4649,2677,7326
 College,1661,968,2629
 Vocational training,442,136,578
 Undergraduate diploma,618,106,724
 Graduate,4599,1458,6057
 Postgraduate diploma,98,38,136
 Master degree,99,39,138
 PhD,30,1,31
 Other,55,1969,2024
 Total,42027,81366,123393
NotApp :,10834,*,*
AREA # 080103,Chauk,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2226,19646,21872
 Grade 1,880,3800,4680
 Grade 2,1284,7084,8368
 Grade 3,1850,10131,11981
 Grade 4,3088,13553,16641
 Grade 5,4573,26284,30857
 Grade 6,2413,7282,9695
 Grade 7,2310,6528,8838
 Grade 8,3027,6991,10018
 Grade 9,3623,7364,10987
 Grade 10,4345,6221,10566
 Grade 11,4810,4759,9569
 College,1646,1555,3201
 Vocational training,189,289,478
 Undergraduate diploma,956,352,1308
 Graduate,4474,3511,7985
 Postgraduate diploma,143,122,265
 Master degree,80,70,150
 PhD,7,5,12
 Other,146,3002,3148
 Total,42070,128549,170619
NotApp :,14570,*,*
AREA # 080104,Taungdwingyi,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,3330,20700,24030
 Grade 1,1023,5196,6219
 Grade 2,1470,8222,9692
 Grade 3,2099,13910,16009
 Grade 4,3620,21415,25035
 Grade 5,5173,57284,62457
 Grade 6,2765,13533,16298
 Grade 7,2561,11647,14208
 Grade 8,3261,10920,14181
 Grade 9,3134,10837,13971
 Grade 10,4749,8446,13195
 Grade 11,3212,5569,8781
 College,1564,2532,4096
 Vocational training,86,155,241
 Undergraduate diploma,161,255,416
 Graduate,4002,4391,8393
 Postgraduate diploma,113,125,238
 Master degree,41,39,80
 PhD,3,6,9
 Other,25,184,209
 Total,42392,195366,237758
NotApp :,22102,*,*
AREA # 080105,Myothit,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,365,25284,25649
 Grade 1,167,5241,5408
 Grade 2,239,7425,7664
 Grade 3,327,10844,11171
 Grade 4,510,14560,15070
 Grade 5,1023,31346,32369
 Grade 6,450,9257,9707
 Grade 7,421,7509,7930
 Grade 8,522,6864,7386
 Grade 9,651,5880,6531
 Grade 10,532,4552,5084
 Grade 11,945,3911,4856
 College,315,1321,1636
 Vocational training,19,126,145
 Undergraduate diploma,58,162,220
 Graduate,890,2277,3167
 Postgraduate diploma,21,137,158
 Master degree,12,34,46
 PhD,1,2,3
 Other,5,251,256
 Total,7473,136983,144456
NotApp :,15055,*,*
AREA # 080106,Natmauk,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1045,40440,41485
 Grade 1,316,5887,6203
 Grade 2,472,8589,9061
 Grade 3,658,13182,13840
 Grade 4,1092,17365,18457
 Grade 5,1494,41194,42688
 Grade 6,797,10258,11055
 Grade 7,775,8592,9367
 Grade 8,964,7806,8770
 Grade 9,974,7800,8774
 Grade 10,2242,5209,7451
 Grade 11,502,4289,4791
 College,525,1586,2111
 Vocational training,25,122,147
 Undergraduate diploma,72,150,222
 Graduate,1598,2254,3852
 Postgraduate diploma,22,70,92
 Master degree,23,32,55
 PhD,3,2,5
 Other,8,145,153
 Total,13607,174972,188579
NotApp :,18417,*,*
AREA # 080201,Minbu,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,3050,15828,18878
 Grade 1,814,3837,4651
 Grade 2,1182,6205,7387
 Grade 3,1865,10329,12194
 Grade 4,2518,13260,15778
 Grade 5,5606,37310,42916
 Grade 6,2222,8387,10609
 Grade 7,1932,6436,8368
 Grade 8,2166,6806,8972
 Grade 9,2668,6743,9411
 Grade 10,2635,5961,8596
 Grade 11,4019,5955,9974
 College,1406,2364,3770
 Vocational training,152,153,305
 Undergraduate diploma,165,316,481
 Graduate,4043,4431,8474
 Postgraduate diploma,68,124,192
 Master degree,66,97,163
 PhD,27,7,34
 Other,38,2277,2315
 Total,36642,136826,173468
NotApp :,14714,*,*
AREA # 080202,Pwint Phyu,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,402,28810,29212
 Grade 1,120,3496,3616
 Grade 2,172,5716,5888
 Grade 3,296,9638,9934
 Grade 4,400,12660,13060
 Grade 5,818,34408,35226
 Grade 6,341,8079,8420
 Grade 7,315,6700,7015
 Grade 8,370,7034,7404
 Grade 9,374,7095,7469
 Grade 10,448,6459,6907
 Grade 11,720,6025,6745
 College,218,2145,2363
 Vocational training,36,232,268
 Undergraduate diploma,62,352,414
 Graduate,790,4382,5172
 Postgraduate diploma,32,85,117
 Master degree,10,101,111
 PhD,-,8,8
 Other,3,594,597
 Total,5927,144019,149946
NotApp :,13746,*,*
AREA # 080203,Ngape,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,151,7862,8013
 Grade 1,90,1703,1793
 Grade 2,160,2658,2818
 Grade 3,232,3787,4019
 Grade 4,291,4173,4464
 Grade 5,659,10602,11261
 Grade 6,217,2394,2611
 Grade 7,205,1934,2139
 Grade 8,233,1770,2003
 Grade 9,234,1709,1943
 Grade 10,302,1387,1689
 Grade 11,277,1321,1598
 College,152,546,698
 Vocational training,27,71,98
 Undergraduate diploma,38,76,114
 Graduate,450,1084,1534
 Postgraduate diploma,3,7,10
 Master degree,-,17,17
 PhD,2,1,3
 Other,80,20,100
 Total,3803,43122,46925
NotApp :,5217,*,*
AREA # 080204,Salin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,668,34391,35059
 Grade 1,203,6570,6773
 Grade 2,320,8651,8971
 Grade 3,508,13189,13697
 Grade 4,814,18103,18917
 Grade 5,1784,60325,62109
 Grade 6,575,10621,11196
 Grade 7,573,9213,9786
 Grade 8,639,9479,10118
 Grade 9,791,9346,10137
 Grade 10,1117,7759,8876
 Grade 11,1332,8533,9865
 College,423,2394,2817
 Vocational training,44,256,300
 Undergraduate diploma,102,332,434
 Graduate,1456,5300,6756
 Postgraduate diploma,8,108,116
 Master degree,13,86,99
 PhD,1,1,2
 Other,10,782,792
 Total,11381,205439,216820
NotApp :,19213,*,*
AREA # 080205,Saytottara,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,495,4740,5235
 Grade 1,122,1188,1310
 Grade 2,173,1294,1467
 Grade 3,235,2306,2541
 Grade 4,337,2726,3063
 Grade 5,872,13150,14022
 Grade 6,374,2521,2895
 Grade 7,341,1881,2222
 Grade 8,396,1847,2243
 Grade 9,409,2020,2429
 Grade 10,573,990,1563
 Grade 11,655,1496,2151
 College,245,288,533
 Vocational training,64,13,77
 Undergraduate diploma,22,52,74
 Graduate,635,579,1214
 Postgraduate diploma,15,6,21
 Master degree,7,4,11
 PhD,1,-,1
 Other,24,30,54
 Total,5995,37131,43126
NotApp :,4400,*,*
AREA # 080301,Thayet,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1195,10426,11621
 Grade 1,340,2296,2636
 Grade 2,637,3301,3938
 Grade 3,873,6311,7184
 Grade 4,1385,7677,9062
 Grade 5,2729,26441,29170
 Grade 6,1073,3608,4681
 Grade 7,858,3013,3871
 Grade 8,1247,2899,4146
 Grade 9,1461,3817,5278
 Grade 10,1783,2078,3861
 Grade 11,2023,2472,4495
 College,873,796,1669
 Vocational training,71,41,112
 Undergraduate diploma,111,227,338
 Graduate,2139,1309,3448
 Postgraduate diploma,21,19,40
 Master degree,26,5,31
 PhD,3,2,5
 Other,58,1534,1592
 Total,18906,78272,97178
NotApp :,7169,*,*
AREA # 080302,Minhla,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,635,16041,16676
 Grade 1,295,3365,3660
 Grade 2,425,6195,6620
 Grade 3,644,10457,11101
 Grade 4,867,12665,13532
 Grade 5,1649,33895,35544
 Grade 6,702,7451,8153
 Grade 7,610,5317,5927
 Grade 8,693,5178,5871
 Grade 9,943,5592,6535
 Grade 10,898,4360,5258
 Grade 11,1378,5442,6820
 College,416,1944,2360
 Vocational training,18,164,182
 Undergraduate diploma,24,217,241
 Graduate,1271,3450,4721
 Postgraduate diploma,22,48,70
 Master degree,14,53,67
 PhD,4,4,8
 Other,32,1366,1398
 Total,11540,123204,134744
NotApp :,11338,*,*
AREA # 080303,Mindon,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,358,6823,7181
 Grade 1,65,1226,1291
 Grade 2,104,2786,2890
 Grade 3,181,4275,4456
 Grade 4,253,4568,4821
 Grade 5,937,15772,16709
 Grade 6,216,2358,2574
 Grade 7,183,1684,1867
 Grade 8,237,1719,1956
 Grade 9,245,2177,2422
 Grade 10,343,1372,1715
 Grade 11,350,1211,1561
 College,112,408,520
 Vocational training,58,107,165
 Undergraduate diploma,24,80,104
 Graduate,540,1034,1574
 Postgraduate diploma,6,13,19
 Master degree,5,1,6
 PhD,-,1,1
 Other,63,3324,3387
 Total,4280,50939,55219
NotApp :,4138,*,*
AREA # 080304,Kamma,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,298,7613,7911
 Grade 1,92,1593,1685
 Grade 2,166,2482,2648
 Grade 3,317,4811,5128
 Grade 4,336,5935,6271
 Grade 5,966,23679,24645
 Grade 6,285,3405,3690
 Grade 7,227,2735,2962
 Grade 8,260,2802,3062
 Grade 9,378,3038,3416
 Grade 10,287,1743,2030
 Grade 11,409,2592,3001
 College,208,694,902
 Vocational training,17,92,109
 Undergraduate diploma,22,144,166
 Graduate,578,1347,1925
 Postgraduate diploma,12,26,38
 Master degree,8,10,18
 PhD,1,1,2
 Other,9,279,288
 Total,4876,65021,69897
NotApp :,5298,*,*
AREA # 080305,Aunglan,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2598,16659,19257
 Grade 1,1216,5097,6313
 Grade 2,1728,7508,9236
 Grade 3,2654,14000,16654
 Grade 4,4497,18098,22595
 Grade 5,9208,58730,67938
 Grade 6,2799,10058,12857
 Grade 7,2626,7839,10465
 Grade 8,3217,7389,10606
 Grade 9,3332,6714,10046
 Grade 10,4485,4438,8923
 Grade 11,3397,4824,8221
 College,1563,1691,3254
 Vocational training,306,279,585
 Undergraduate diploma,294,314,608
 Graduate,4386,3181,7567
 Postgraduate diploma,79,79,158
 Master degree,56,34,90
 PhD,2,3,5
 Other,44,1301,1345
 Total,48487,168236,216723
NotApp :,18499,*,*
AREA # 080306,Sinpaungwe`,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,284,7590,7874
 Grade 1,82,3851,3933
 Grade 2,185,6452,6637
 Grade 3,359,9754,10113
 Grade 4,359,10792,11151
 Grade 5,988,38988,39976
 Grade 6,260,4994,5254
 Grade 7,217,3668,3885
 Grade 8,249,3651,3900
 Grade 9,267,3395,3662
 Grade 10,232,2693,2925
 Grade 11,516,2780,3296
 College,158,1081,1239
 Vocational training,24,90,114
 Undergraduate diploma,14,107,121
 Graduate,551,1954,2505
 Postgraduate diploma,6,26,32
 Master degree,7,21,28
 PhD,-,1,1
 Other,12,1275,1287
 Total,4770,103163,107933
NotApp :,9911,*,*
AREA # 080401,Pakokku,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,8030,36529,44559
 Grade 1,1625,5181,6806
 Grade 2,2742,7849,10591
 Grade 3,4474,11813,16287
 Grade 4,6893,16345,23238
 Grade 5,12439,34828,47267
 Grade 6,4738,10741,15479
 Grade 7,4051,8914,12965
 Grade 8,4701,9146,13847
 Grade 9,5169,9345,14514
 Grade 10,5548,10140,15688
 Grade 11,8261,9055,17316
 College,3256,3307,6563
 Vocational training,671,273,944
 Undergraduate diploma,305,442,747
 Graduate,9986,7387,17373
 Postgraduate diploma,288,176,464
 Master degree,522,228,750
 PhD,80,18,98
 Other,185,506,691
 Total,83964,182223,266187
NotApp :,23952,*,*
AREA # 080402,Yesagyo,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2255,32664,34919
 Grade 1,510,4688,5198
 Grade 2,819,6769,7588
 Grade 3,1286,11237,12523
 Grade 4,1728,16658,18386
 Grade 5,3342,44769,48111
 Grade 6,1311,9858,11169
 Grade 7,1152,8062,9214
 Grade 8,1137,7662,8799
 Grade 9,1103,7238,8341
 Grade 10,1086,6138,7224
 Grade 11,2207,8075,10282
 College,784,3152,3936
 Vocational training,29,216,245
 Undergraduate diploma,56,235,291
 Graduate,2258,4925,7183
 Postgraduate diploma,35,155,190
 Master degree,32,87,119
 PhD,3,1,4
 Other,237,2871,3108
 Total,21370,175460,196830
NotApp :,18522,*,*
AREA # 080403,Myaing,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,608,53956,54564
 Grade 1,123,6016,6139
 Grade 2,193,9701,9894
 Grade 3,331,15297,15628
 Grade 4,449,19076,19525
 Grade 5,1126,42278,43404
 Grade 6,373,9869,10242
 Grade 7,315,7993,8308
 Grade 8,398,7721,8119
 Grade 9,425,6836,7261
 Grade 10,560,5610,6170
 Grade 11,788,6795,7583
 College,300,2383,2683
 Vocational training,21,148,169
 Undergraduate diploma,17,197,214
 Graduate,1076,4113,5189
 Postgraduate diploma,9,79,88
 Master degree,9,84,93
 PhD,1,1,2
 Other,23,501,524
 Total,7145,198654,205799
NotApp :,19972,*,*
AREA # 080404,Pauk,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,424,25920,26344
 Grade 1,160,5833,5993
 Grade 2,268,9918,10186
 Grade 3,357,15088,15445
 Grade 4,481,16817,17298
 Grade 5,1068,34822,35890
 Grade 6,344,7773,8117
 Grade 7,357,6023,6380
 Grade 8,396,5554,5950
 Grade 9,434,5577,6011
 Grade 10,669,4137,4806
 Grade 11,523,4454,4977
 College,241,1514,1755
 Vocational training,21,110,131
 Undergraduate diploma,26,155,181
 Graduate,902,2813,3715
 Postgraduate diploma,7,124,131
 Master degree,5,34,39
 PhD,1,1,2
 Other,60,1141,1201
 Total,6744,147808,154552
NotApp :,16962,*,*
AREA # 080405,Seikphyu,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,414,13488,13902
 Grade 1,229,2915,3144
 Grade 2,297,4122,4419
 Grade 3,499,6459,6958
 Grade 4,733,7566,8299
 Grade 5,1035,18833,19868
 Grade 6,408,4822,5230
 Grade 7,481,4119,4600
 Grade 8,542,3991,4533
 Grade 9,648,5015,5663
 Grade 10,783,3900,4683
 Grade 11,726,4084,4810
 College,282,1193,1475
 Vocational training,80,116,196
 Undergraduate diploma,75,192,267
 Graduate,1107,2542,3649
 Postgraduate diploma,26,46,72
 Master degree,11,49,60
 PhD,1,1,2
 Other,36,1151,1187
 Total,8413,84604,93017
NotApp :,9752,*,*
AREA # 080501,Gangaw,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,771,9600,10371
 Grade 1,272,2955,3227
 Grade 2,398,4138,4536
 Grade 3,578,7097,7675
 Grade 4,896,10540,11436
 Grade 5,1992,30624,32616
 Grade 6,843,8225,9068
 Grade 7,706,6554,7260
 Grade 8,800,6703,7503
 Grade 9,888,5742,6630
 Grade 10,1449,5968,7417
 Grade 11,1145,4730,5875
 College,522,1954,2476
 Vocational training,34,183,217
 Undergraduate diploma,109,296,405
 Graduate,1476,4027,5503
 Postgraduate diploma,54,78,132
 Master degree,22,67,89
 PhD,1,4,5
 Other,2,65,67
 Total,12958,109550,122508
NotApp :,10787,*,*
AREA # 080502,Htilin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,296,3019,3315
 Grade 1,121,955,1076
 Grade 2,162,1424,1586
 Grade 3,182,2005,2187
 Grade 4,267,2867,3134
 Grade 5,900,17768,18668
 Grade 6,243,2374,2617
 Grade 7,231,1837,2068
 Grade 8,290,1973,2263
 Grade 9,232,1798,2030
 Grade 10,407,1497,1904
 Grade 11,237,1946,2183
 College,119,472,591
 Vocational training,14,39,53
 Undergraduate diploma,44,60,104
 Graduate,401,1281,1682
 Postgraduate diploma,15,33,48
 Master degree,3,5,8
 PhD,-,1,1
 Other,3,14,17
 Total,4167,41368,45535
NotApp :,3331,*,*
AREA # 080503,Saw,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,466,3810,4276
 Grade 1,95,826,921
 Grade 2,136,852,988
 Grade 3,225,1352,1577
 Grade 4,284,2011,2295
 Grade 5,880,9861,10741
 Grade 6,239,1753,1992
 Grade 7,243,1445,1688
 Grade 8,323,1693,2016
 Grade 9,243,1213,1456
 Grade 10,585,1839,2424
 Grade 11,213,470,683
 College,92,357,449
 Vocational training,9,15,24
 Undergraduate diploma,21,70,91
 Graduate,405,809,1214
 Postgraduate diploma,38,34,72
 Master degree,5,4,9
 PhD,-,4,4
 Other,1,-,1
 Total,4503,28418,32921
NotApp :,2911,*,*
AREA # 080551,Kyaukhtu(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,404,2921,3325
 Grade 1,126,709,835
 Grade 2,191,852,1043
 Grade 3,206,1391,1597
 Grade 4,281,2523,2804
 Grade 5,894,7773,8667
 Grade 6,231,1636,1867
 Grade 7,213,1351,1564
 Grade 8,336,1612,1948
 Grade 9,228,1497,1725
 Grade 10,514,1902,2416
 Grade 11,112,558,670
 College,131,467,598
 Vocational training,9,199,208
 Undergraduate diploma,17,50,67
 Graduate,367,971,1338
 Postgraduate diploma,20,36,56
 Master degree,9,8,17
 PhD,-,1,1
 Other,-,4,4
 Total,4289,26461,30750
NotApp :,2115,*,*
AREA # 090101,Aungmyetharzan,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,12367,-,12367
 Grade 1,4196,-,4196
 Grade 2,6446,-,6446
 Grade 3,10168,-,10168
 Grade 4,18490,-,18490
 Grade 5,40612,-,40612
 Grade 6,15585,-,15585
 Grade 7,13199,-,13199
 Grade 8,15354,-,15354
 Grade 9,18237,-,18237
 Grade 10,16374,-,16374
 Grade 11,28182,-,28182
 College,11292,-,11292
 Vocational training,647,-,647
 Undergraduate diploma,1071,-,1071
 Graduate,33373,-,33373
 Postgraduate diploma,803,-,803
 Master degree,1082,-,1082
 PhD,262,-,262
 Other,1327,-,1327
 Total,249067,-,249067
NotApp :,16712,*,*
AREA # 090102,Chanayeharzan,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,6724,-,6724
 Grade 1,2863,-,2863
 Grade 2,3887,-,3887
 Grade 3,5950,-,5950
 Grade 4,11713,-,11713
 Grade 5,22358,-,22358
 Grade 6,9552,-,9552
 Grade 7,8519,-,8519
 Grade 8,11267,-,11267
 Grade 9,13058,-,13058
 Grade 10,15418,-,15418
 Grade 11,22489,-,22489
 College,12413,-,12413
 Vocational training,964,-,964
 Undergraduate diploma,1397,-,1397
 Graduate,35238,-,35238
 Postgraduate diploma,861,-,861
 Master degree,1411,-,1411
 PhD,323,-,323
 Other,790,-,790
 Total,187195,-,187195
NotApp :,9980,*,*
AREA # 090103,Mahaaungmye,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,11680,-,11680
 Grade 1,4531,-,4531
 Grade 2,6493,-,6493
 Grade 3,10069,-,10069
 Grade 4,20123,-,20123
 Grade 5,31570,-,31570
 Grade 6,12700,-,12700
 Grade 7,11429,-,11429
 Grade 8,13272,-,13272
 Grade 9,15616,-,15616
 Grade 10,16702,-,16702
 Grade 11,19287,-,19287
 College,13652,-,13652
 Vocational training,447,-,447
 Undergraduate diploma,1373,-,1373
 Graduate,33576,-,33576
 Postgraduate diploma,653,-,653
 Master degree,1726,-,1726
 PhD,488,-,488
 Other,622,-,622
 Total,226009,-,226009
