Highest_grade,Sex_Male,Sex_Female,Sex_Total
 College,897,1053,1950
 Vocational training,99,67,166
 Undergraduate diploma,214,135,349
 Graduate,2045,3772,5817
 Postgraduate diploma,29,64,93
 Master degree,35,45,80
 PhD,7,3,10
 Other,722,589,1311
 Total,64351,70039,134390
NotApp :,9824,*,*
AREA # 070304,Paunde,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6735,8990,15725
 Grade 1,1997,2369,4366
 Grade 2,3179,4387,7566
 Grade 3,4684,5998,10682
 Grade 4,13053,15717,28770
 Grade 5,11655,12482,24137
 Grade 6,3169,2611,5780
 Grade 7,3514,2493,6007
 Grade 8,3707,2492,6199
 Grade 9,3251,2230,5481
 Grade 10,3366,2869,6235
 Grade 11,710,605,1315
 College,675,726,1401
 Vocational training,59,55,114
 Undergraduate diploma,110,57,167
 Graduate,1533,2663,4196
 Postgraduate diploma,34,31,65
 Master degree,9,17,26
 PhD,1,-,1
 Other,88,88,176
 Total,61529,66880,128409
NotApp :,9152,*,*
AREA # 070305,Thegon,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2769,3651,6420
 Grade 1,1436,1917,3353
 Grade 2,2128,3599,5727
 Grade 3,3604,5585,9189
 Grade 4,9847,12723,22570
 Grade 5,16099,18822,34921
 Grade 6,3415,2983,6398
 Grade 7,3511,2541,6052
 Grade 8,3846,2637,6483
 Grade 9,3232,2300,5532
 Grade 10,3483,3023,6506
 Grade 11,1050,835,1885
 College,670,816,1486
 Vocational training,101,77,178
 Undergraduate diploma,203,108,311
 Graduate,1651,2889,4540
 Postgraduate diploma,31,66,97
 Master degree,12,27,39
 PhD,3,3,6
 Other,811,730,1541
 Total,57902,65332,123234
NotApp :,7723,*,*
AREA # 070306,Shwedaung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3356,4477,7833
 Grade 1,1538,2017,3555
 Grade 2,2416,4049,6465
 Grade 3,3837,5729,9566
 Grade 4,9464,12280,21744
 Grade 5,11230,13030,24260
 Grade 6,3034,2800,5834
 Grade 7,3044,2408,5452
 Grade 8,3623,2789,6412
 Grade 9,3188,2567,5755
 Grade 10,3871,3659,7530
 Grade 11,699,589,1288
 College,751,835,1586
 Vocational training,58,52,110
 Undergraduate diploma,149,86,235
 Graduate,1713,3084,4797
 Postgraduate diploma,37,59,96
 Master degree,12,58,70
 PhD,24,11,35
 Other,540,523,1063
 Total,52584,61102,113686
NotApp :,7985,*,*
AREA # 070401,Tharyarwaddy,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5988,8001,13989
 Grade 1,2971,3530,6501
 Grade 2,4409,6306,10715
 Grade 3,5410,7064,12474
 Grade 4,13411,15950,29361
 Grade 5,10610,11017,21627
 Grade 6,3739,3284,7023
 Grade 7,3995,2860,6855
 Grade 8,4239,2940,7179
 Grade 9,3645,2618,6263
 Grade 10,3589,3219,6808
 Grade 11,1049,771,1820
 College,885,894,1779
 Vocational training,55,43,98
 Undergraduate diploma,147,78,225
 Graduate,1748,3058,4806
 Postgraduate diploma,25,54,79
 Master degree,12,33,45
 PhD,3,4,7
 Other,190,181,371
 Total,66120,71905,138025
NotApp :,13079,*,*
AREA # 070402,Letpadan,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5903,8795,14698
 Grade 1,3622,4289,7911
 Grade 2,4542,6668,11210
 Grade 3,6283,8718,15001
 Grade 4,13840,18074,31914
 Grade 5,12422,13772,26194
 Grade 6,4981,4291,9272
 Grade 7,5113,3675,8788
 Grade 8,5175,3587,8762
 Grade 9,4604,3118,7722
 Grade 10,4988,4179,9167
 Grade 11,1228,1054,2282
 College,921,997,1918
 Vocational training,69,33,102
 Undergraduate diploma,143,97,240
 Graduate,1830,2997,4827
 Postgraduate diploma,23,51,74
 Master degree,6,21,27
 PhD,2,2,4
 Other,501,652,1153
 Total,76196,85070,161266
NotApp :,16141,*,*
AREA # 070403,Minhla,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3295,4333,7628
 Grade 1,2147,2715,4862
 Grade 2,3507,4916,8423
 Grade 3,4399,5684,10083
 Grade 4,12542,15480,28022
 Grade 5,7972,8637,16609
 Grade 6,3328,2789,6117
 Grade 7,3434,2497,5931
 Grade 8,3627,2767,6394
 Grade 9,3103,2315,5418
 Grade 10,3265,2890,6155
 Grade 11,530,497,1027
 College,598,701,1299
 Vocational training,48,47,95
 Undergraduate diploma,99,59,158
 Graduate,1245,2121,3366
 Postgraduate diploma,20,37,57
 Master degree,17,33,50
 PhD,5,1,6
 Other,346,446,792
 Total,53527,58965,112492
NotApp :,9999,*,*
AREA # 070404,Okpo,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,4479,5896,10375
 Grade 1,2343,2565,4908
 Grade 2,3136,4291,7427
 Grade 3,4283,5730,10013
 Grade 4,12316,15331,27647
 Grade 5,8901,9482,18383
 Grade 6,3525,3088,6613
 Grade 7,3561,2598,6159
 Grade 8,3663,2631,6294
 Grade 9,2830,2008,4838
 Grade 10,3298,3106,6404
 Grade 11,800,716,1516
 College,656,805,1461
 Vocational training,47,31,78
 Undergraduate diploma,112,60,172
 Graduate,1154,2065,3219
 Postgraduate diploma,30,50,80
 Master degree,6,18,24
 PhD,1,1,2
 Other,421,591,1012
 Total,55562,61063,116625
NotApp :,10037,*,*
AREA # 070405,Zigon,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1503,2173,3676
 Grade 1,824,970,1794
 Grade 2,1056,1470,2526
 Grade 3,1620,2333,3953
 Grade 4,4353,5631,9984
 Grade 5,7034,8429,15463
 Grade 6,2053,1970,4023
 Grade 7,2133,1720,3853
 Grade 8,2269,1794,4063
 Grade 9,2105,1510,3615
 Grade 10,2452,2055,4507
 Grade 11,870,725,1595
 College,407,450,857
 Vocational training,47,29,76
 Undergraduate diploma,91,60,151
 Graduate,937,1588,2525
 Postgraduate diploma,20,24,44
 Master degree,5,14,19
 PhD,1,-,1
 Other,41,44,85
 Total,29821,32989,62810
NotApp :,4713,*,*
AREA # 070406,Nattalin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5380,6863,12243
 Grade 1,2276,2706,4982
 Grade 2,3250,4746,7996
 Grade 3,4875,6749,11624
 Grade 4,12941,16296,29237
 Grade 5,18974,21867,40841
 Grade 6,4930,4449,9379
 Grade 7,4824,3855,8679
 Grade 8,5029,3810,8839
 Grade 9,4137,3065,7202
 Grade 10,5063,4083,9146
 Grade 11,1213,1054,2267
 College,807,890,1697
 Vocational training,88,67,155
 Undergraduate diploma,129,110,239
 Graduate,1697,2997,4694
 Postgraduate diploma,22,49,71
 Master degree,4,37,41
 PhD,1,5,6
 Other,548,688,1236
 Total,76188,84386,160574
NotApp :,11567,*,*
AREA # 070407,Monyo,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,4506,5843,10349
 Grade 1,2477,3016,5493
 Grade 2,3406,4874,8280
 Grade 3,4485,6228,10713
 Grade 4,10986,13410,24396
 Grade 5,9988,11540,21528
 Grade 6,3448,3211,6659
 Grade 7,3456,2651,6107
 Grade 8,3463,2377,5840
 Grade 9,3112,2216,5328
 Grade 10,2902,2459,5361
 Grade 11,711,651,1362
 College,570,651,1221
 Vocational training,45,38,83
 Undergraduate diploma,79,60,139
 Graduate,1013,1669,2682
 Postgraduate diploma,5,17,22
 Master degree,3,9,12
 PhD,2,1,3
 Other,736,877,1613
 Total,55393,61798,117191
NotApp :,10379,*,*
AREA # 070408,Gyobingauk,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2669,3464,6133
 Grade 1,1605,1868,3473
 Grade 2,2104,2908,5012
 Grade 3,2921,4070,6991
 Grade 4,12222,16577,28799
 Grade 5,8931,10309,19240
 Grade 6,3178,2902,6080
 Grade 7,3369,2671,6040
 Grade 8,3837,2792,6629
 Grade 9,3094,2183,5277
 Grade 10,3720,3095,6815
 Grade 11,1116,851,1967
 College,689,795,1484
 Vocational training,68,59,127
 Undergraduate diploma,154,98,252
 Graduate,1618,2610,4228
 Postgraduate diploma,32,61,93
 Master degree,4,20,24
 PhD,4,7,11
 Other,339,444,783
 Total,51674,57784,109458
NotApp :,7975,*,*
AREA # 080101,Magway,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,15135,23107,38242
 Grade 1,3410,4096,7506
 Grade 2,4534,6397,10931
 Grade 3,6163,10136,16299
 Grade 4,9691,13483,23174
 Grade 5,23680,28472,52152
 Grade 6,7279,7836,15115
 Grade 7,6620,5837,12457
 Grade 8,7515,6031,13546
 Grade 9,8557,6672,15229
 Grade 10,7469,5761,13230
 Grade 11,8197,7007,15204
 College,5027,3898,8925
 Vocational training,317,463,780
 Undergraduate diploma,691,546,1237
 Graduate,7530,10654,18184
 Postgraduate diploma,174,354,528
 Master degree,235,762,997
 PhD,45,99,144
 Other,1031,1002,2033
 Total,123300,142613,265913
NotApp :,23334,*,*
AREA # 080102,Yenangyoung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6486,11641,18127
 Grade 1,1679,1995,3674
 Grade 2,2175,3219,5394
 Grade 3,2876,4944,7820
 Grade 4,4056,6536,10592
 Grade 5,10345,14070,24415
 Grade 6,3239,3820,7059
 Grade 7,3148,3023,6171
 Grade 8,3748,3185,6933
 Grade 9,4529,3518,8047
 Grade 10,3066,2452,5518
 Grade 11,3871,3455,7326
 College,1421,1208,2629
 Vocational training,397,181,578
 Undergraduate diploma,391,333,724
 Graduate,2288,3769,6057
 Postgraduate diploma,47,89,136
 Master degree,14,124,138
 PhD,11,20,31
 Other,1013,1011,2024
 Total,54800,68593,123393
NotApp :,10834,*,*
AREA # 080103,Chauk,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,7467,14405,21872
 Grade 1,2077,2603,4680
 Grade 2,3220,5148,8368
 Grade 3,4308,7673,11981
 Grade 4,6570,10071,16641
 Grade 5,13166,17691,30857
 Grade 6,4526,5169,9695
 Grade 7,4545,4293,8838
 Grade 8,5329,4689,10018
 Grade 9,6069,4918,10987
 Grade 10,5654,4912,10566
 Grade 11,5021,4548,9569
 College,1592,1609,3201
 Vocational training,355,123,478
 Undergraduate diploma,770,538,1308
 Graduate,2904,5081,7985
 Postgraduate diploma,87,178,265
 Master degree,34,116,150
 PhD,7,5,12
 Other,1388,1760,3148
 Total,75089,95530,170619
NotApp :,14570,*,*
AREA # 080104,Taungdwingyi,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8568,15462,24030
 Grade 1,2959,3260,6219
 Grade 2,3949,5743,9692
 Grade 3,6011,9998,16009
 Grade 4,10507,14528,25035
 Grade 5,29248,33209,62457
 Grade 6,8483,7815,16298
 Grade 7,7868,6340,14208
 Grade 8,7965,6216,14181
 Grade 9,7900,6071,13971
 Grade 10,7309,5886,13195
 Grade 11,4568,4213,8781
 College,2166,1930,4096
 Vocational training,134,107,241
 Undergraduate diploma,252,164,416
 Graduate,3433,4960,8393
 Postgraduate diploma,77,161,238
 Master degree,14,66,80
 PhD,4,5,9
 Other,119,90,209
 Total,111534,126224,237758
NotApp :,22102,*,*
AREA # 080105,Myothit,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8501,17148,25649
 Grade 1,2616,2792,5408
 Grade 2,3126,4538,7664
 Grade 3,4162,7009,11171
 Grade 4,6339,8731,15070
 Grade 5,15101,17268,32369
 Grade 6,5246,4461,9707
 Grade 7,4455,3475,7930
 Grade 8,4430,2956,7386
 Grade 9,3954,2577,6531
 Grade 10,3150,1934,5084
 Grade 11,2700,2156,4856
 College,907,729,1636
 Vocational training,75,70,145
 Undergraduate diploma,128,92,220
 Graduate,1364,1803,3167
 Postgraduate diploma,60,98,158
 Master degree,9,37,46
 PhD,1,2,3
 Other,139,117,256
 Total,66463,77993,144456
NotApp :,15055,*,*
AREA # 080106,Natmauk,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,13936,27549,41485
 Grade 1,2818,3385,6203
 Grade 2,3400,5661,9061
 Grade 3,4831,9009,13840
 Grade 4,7597,10860,18457
 Grade 5,20128,22560,42688
 Grade 6,5500,5555,11055
 Grade 7,4986,4381,9367
 Grade 8,4954,3816,8770
 Grade 9,5022,3752,8774
 Grade 10,4272,3179,7451
 Grade 11,2780,2011,4791
 College,1103,1008,2111
 Vocational training,85,62,147
 Undergraduate diploma,146,76,222
 Graduate,1794,2058,3852
 Postgraduate diploma,35,57,92
 Master degree,19,36,55
 PhD,2,3,5
 Other,85,68,153
 Total,83493,105086,188579
NotApp :,18417,*,*
AREA # 080201,Minbu,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,7892,10986,18878
 Grade 1,2168,2483,4651
 Grade 2,3044,4343,7387
 Grade 3,4698,7496,12194
 Grade 4,6546,9232,15778
 Grade 5,19706,23210,42916
 Grade 6,5039,5570,10609
 Grade 7,4347,4021,8368
 Grade 8,4838,4134,8972
 Grade 9,5268,4143,9411
 Grade 10,4841,3755,8596
 Grade 11,5235,4739,9974
 College,1866,1904,3770
 Vocational training,188,117,305
 Undergraduate diploma,319,162,481
 Graduate,3346,5128,8474
 Postgraduate diploma,89,103,192
 Master degree,45,118,163
 PhD,14,20,34
 Other,1335,980,2315
 Total,80824,92644,173468
NotApp :,14714,*,*
AREA # 080202,Pwint Phyu,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,14041,15171,29212
 Grade 1,1832,1784,3616
 Grade 2,2573,3315,5888
 Grade 3,3881,6053,9934
 Grade 4,5214,7846,13060
 Grade 5,15234,19992,35226
 Grade 6,4064,4356,8420
 Grade 7,3634,3381,7015
 Grade 8,4063,3341,7404
 Grade 9,4078,3391,7469
 Grade 10,3843,3064,6907
 Grade 11,3523,3222,6745
 College,1196,1167,2363
 Vocational training,174,94,268
 Undergraduate diploma,249,165,414
 Graduate,1833,3339,5172
 Postgraduate diploma,44,73,117
 Master degree,15,96,111
 PhD,2,6,8
 Other,315,282,597
 Total,69808,80138,149946
NotApp :,13746,*,*
AREA # 080203,Ngape,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3923,4090,8013
 Grade 1,893,900,1793
 Grade 2,1295,1523,2818
 Grade 3,1628,2391,4019
 Grade 4,1861,2603,4464
 Grade 5,5101,6160,11261
 Grade 6,1300,1311,2611
 Grade 7,1122,1017,2139
 Grade 8,1081,922,2003
 Grade 9,1162,781,1943
 Grade 10,947,742,1689
 Grade 11,871,727,1598
 College,375,323,698
 Vocational training,65,33,98
 Undergraduate diploma,73,41,114
 Graduate,656,878,1534
 Postgraduate diploma,4,6,10
 Master degree,7,10,17
 PhD,-,3,3
 Other,48,52,100
 Total,22412,24513,46925
NotApp :,5217,*,*
AREA # 080204,Salin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,16024,19035,35059
 Grade 1,3292,3481,6773
 Grade 2,3868,5103,8971
 Grade 3,5244,8453,13697
 Grade 4,7544,11373,18917
 Grade 5,26047,36062,62109
 Grade 6,5316,5880,11196
 Grade 7,5075,4711,9786
 Grade 8,5479,4639,10118
 Grade 9,5782,4355,10137
 Grade 10,5060,3816,8876
 Grade 11,5243,4622,9865
 College,1468,1349,2817
 Vocational training,190,110,300
 Undergraduate diploma,283,151,434
 Graduate,2517,4239,6756
 Postgraduate diploma,44,72,116
 Master degree,27,72,99
 PhD,1,1,2
 Other,479,313,792
 Total,98983,117837,216820
NotApp :,19213,*,*
AREA # 080205,Saytottara,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2335,2900,5235
 Grade 1,584,726,1310
 Grade 2,622,845,1467
 Grade 3,1098,1443,2541
 Grade 4,1286,1777,3063
 Grade 5,6444,7578,14022
 Grade 6,1527,1368,2895
 Grade 7,1303,919,2222
 Grade 8,1321,922,2243
 Grade 9,1486,943,2429
 Grade 10,941,622,1563
 Grade 11,1235,916,2151
 College,276,257,533
 Vocational training,48,29,77
 Undergraduate diploma,35,39,74
 Graduate,536,678,1214
 Postgraduate diploma,14,7,21
 Master degree,6,5,11
 PhD,1,-,1
 Other,39,15,54
 Total,21137,21989,43126
NotApp :,4400,*,*
AREA # 080301,Thayet,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,4507,7114,11621
 Grade 1,1267,1369,2636
 Grade 2,1573,2365,3938
 Grade 3,2839,4345,7184
 Grade 4,3988,5074,9062
 Grade 5,14162,15008,29170
 Grade 6,2382,2299,4681
 Grade 7,2006,1865,3871
 Grade 8,2250,1896,4146
 Grade 9,2889,2389,5278
 Grade 10,2164,1697,3861
 Grade 11,2423,2072,4495
 College,839,830,1669
 Vocational training,68,44,112
 Undergraduate diploma,216,122,338
 Graduate,1288,2160,3448
 Postgraduate diploma,18,22,40
 Master degree,7,24,31
 PhD,3,2,5
 Other,828,764,1592
 Total,45717,51461,97178
NotApp :,7169,*,*
AREA # 080302,Minhla,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6895,9781,16676
 Grade 1,1743,1917,3660
 Grade 2,2829,3791,6620
 Grade 3,4806,6295,11101
 Grade 4,6350,7182,13532
 Grade 5,18445,17099,35544
 Grade 6,4284,3869,8153
 Grade 7,3273,2654,5927
 Grade 8,3379,2492,5871
 Grade 9,4081,2454,6535
 Grade 10,3104,2154,5258
 Grade 11,3874,2946,6820
 College,1306,1054,2360
 Vocational training,103,79,182
 Undergraduate diploma,167,74,241
 Graduate,2009,2712,4721
 Postgraduate diploma,28,42,70
 Master degree,16,51,67
 PhD,3,5,8
 Other,793,605,1398
 Total,67488,67256,134744
NotApp :,11338,*,*
AREA # 080303,Mindon,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2447,4734,7181
 Grade 1,637,654,1291
 Grade 2,1324,1566,2890
 Grade 3,1849,2607,4456
 Grade 4,2157,2664,4821
 Grade 5,7841,8868,16709
 Grade 6,1251,1323,2574
 Grade 7,997,870,1867
 Grade 8,1145,811,1956
 Grade 9,1349,1073,2422
 Grade 10,944,771,1715
 Grade 11,841,720,1561
 College,238,282,520
 Vocational training,89,76,165
 Undergraduate diploma,61,43,104
 Graduate,604,970,1574
 Postgraduate diploma,7,12,19
 Master degree,1,5,6
 PhD,1,-,1
 Other,2050,1337,3387
 Total,25833,29386,55219
NotApp :,4138,*,*
AREA # 080304,Kamma,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3589,4322,7911
 Grade 1,861,824,1685
 Grade 2,1166,1482,2648
 Grade 3,2149,2979,5128
 Grade 4,2772,3499,6271
 Grade 5,11327,13318,24645
 Grade 6,1891,1799,3690
 Grade 7,1561,1401,2962
 Grade 8,1712,1350,3062
 Grade 9,1930,1486,3416
 Grade 10,1133,897,2030
 Grade 11,1605,1396,3001
 College,420,482,902
 Vocational training,63,46,109
 Undergraduate diploma,95,71,166
 Graduate,697,1228,1925
 Postgraduate diploma,15,23,38
 Master degree,4,14,18
 PhD,2,-,2
 Other,154,134,288
 Total,33146,36751,69897
NotApp :,5298,*,*
AREA # 080305,Aunglan,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6616,12641,19257
 Grade 1,3003,3310,6313
 Grade 2,3934,5302,9236
 Grade 3,6656,9998,16654
 Grade 4,9936,12659,22595
 Grade 5,33175,34763,67938
 Grade 6,6460,6397,12857
 Grade 7,5561,4904,10465
 Grade 8,5897,4709,10606
 Grade 9,5723,4323,10046
 Grade 10,4948,3975,8923
 Grade 11,4347,3874,8221
 College,1592,1662,3254
 Vocational training,403,182,585
 Undergraduate diploma,396,212,608
 Graduate,2882,4685,7567
 Postgraduate diploma,64,94,158
 Master degree,24,66,90
 PhD,2,3,5
 Other,715,630,1345
 Total,102334,114389,216723
NotApp :,18499,*,*
AREA # 080306,Sinpaungwe`,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2845,5029,7874
 Grade 1,1787,2146,3933
 Grade 2,2549,4088,6637
 Grade 3,4053,6060,10113
 Grade 4,4910,6241,11151
 Grade 5,19421,20555,39976
 Grade 6,2719,2535,5254
 Grade 7,2118,1767,3885
 Grade 8,2178,1722,3900
 Grade 9,2157,1505,3662
 Grade 10,1716,1209,2925
 Grade 11,1799,1497,3296
 College,660,579,1239
 Vocational training,64,50,114
 Undergraduate diploma,85,36,121
 Graduate,985,1520,2505
 Postgraduate diploma,9,23,32
 Master degree,8,20,28
 PhD,-,1,1
 Other,745,542,1287
 Total,50808,57125,107933
NotApp :,9911,*,*
AREA # 080401,Pakokku,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,19345,25214,44559
 Grade 1,3233,3573,6806
 Grade 2,4271,6320,10591
 Grade 3,6136,10151,16287
 Grade 4,8954,14284,23238
 Grade 5,18984,28283,47267
 Grade 6,7403,8076,15479
 Grade 7,6583,6382,12965
 Grade 8,7357,6490,13847
 Grade 9,8080,6434,14514
 Grade 10,8517,7171,15688
 Grade 11,8869,8447,17316
 College,3022,3541,6563
 Vocational training,475,469,944
 Undergraduate diploma,437,310,747
 Graduate,6404,10969,17373
 Postgraduate diploma,141,323,464
 Master degree,163,587,750
 PhD,32,66,98
 Other,309,382,691
 Total,118715,147472,266187
NotApp :,23952,*,*
AREA # 080402,Yesagyo,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,15485,19434,34919
 Grade 1,2549,2649,5198
 Grade 2,3128,4460,7588
 Grade 3,4366,8157,12523
 Grade 4,6686,11700,18386
 Grade 5,18429,29682,48111
 Grade 6,4880,6289,11169
 Grade 7,4514,4700,9214
 Grade 8,4444,4355,8799
 Grade 9,4568,3773,8341
 Grade 10,3886,3338,7224
 Grade 11,5297,4985,10282
 College,1894,2042,3936
 Vocational training,134,111,245
 Undergraduate diploma,188,103,291
 Graduate,2761,4422,7183
 Postgraduate diploma,47,143,190
 Master degree,25,94,119
 PhD,1,3,4
 Other,1754,1354,3108
 Total,85036,111794,196830
NotApp :,18522,*,*
AREA # 080403,Myaing,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,24086,30478,54564
 Grade 1,2916,3223,6139
 Grade 2,4111,5783,9894
 Grade 3,5981,9647,15628
 Grade 4,8056,11469,19525
 Grade 5,18519,24885,43404
 Grade 6,4915,5327,10242
 Grade 7,4077,4231,8308
 Grade 8,4100,4019,8119
 Grade 9,3819,3442,7261
 Grade 10,3096,3074,6170
 Grade 11,3524,4059,7583
 College,1173,1510,2683
 Vocational training,97,72,169
 Undergraduate diploma,135,79,214
 Graduate,1905,3284,5189
 Postgraduate diploma,28,60,88
 Master degree,19,74,93
 PhD,1,1,2
 Other,271,253,524
 Total,90829,114970,205799
NotApp :,19972,*,*
AREA # 080404,Pauk,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,12108,14236,26344
 Grade 1,2814,3179,5993
 Grade 2,4153,6033,10186
 Grade 3,6318,9127,15445
 Grade 4,7416,9882,17298
 Grade 5,16555,19335,35890
 Grade 6,3898,4219,8117
 Grade 7,3188,3192,6380
 Grade 8,3006,2944,5950
 Grade 9,3199,2812,6011
 Grade 10,2392,2414,4806
 Grade 11,2337,2640,4977
 College,793,962,1755
 Vocational training,68,63,131
 Undergraduate diploma,111,70,181
 Graduate,1395,2320,3715
 Postgraduate diploma,83,48,131
 Master degree,10,29,39
 PhD,2,-,2
 Other,771,430,1201
 Total,70617,83935,154552
NotApp :,16962,*,*
AREA # 080405,Seikphyu,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6152,7750,13902
 Grade 1,1536,1608,3144
 Grade 2,1928,2491,4419
 Grade 3,2775,4183,6958
 Grade 4,3388,4911,8299
 Grade 5,8669,11199,19868
 Grade 6,2449,2781,5230
 Grade 7,2204,2396,4600
 Grade 8,2291,2242,4533
 Grade 9,2928,2735,5663
 Grade 10,2418,2265,4683
 Grade 11,2334,2476,4810
 College,733,742,1475
 Vocational training,137,59,196
 Undergraduate diploma,173,94,267
 Graduate,1275,2374,3649
 Postgraduate diploma,24,48,72
 Master degree,30,30,60
 PhD,-,2,2
 Other,575,612,1187
 Total,42019,50998,93017
NotApp :,9752,*,*
AREA # 080501,Gangaw,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5170,5201,10371
 Grade 1,1621,1606,3227
 Grade 2,1987,2549,4536
 Grade 3,3359,4316,7675
 Grade 4,5062,6374,11436
 Grade 5,15223,17393,32616
 Grade 6,4542,4526,9068
 Grade 7,3697,3563,7260
 Grade 8,3976,3527,7503
 Grade 9,3510,3120,6630
 Grade 10,3514,3903,7417
 Grade 11,2717,3158,5875
 College,1091,1385,2476
 Vocational training,87,130,217
 Undergraduate diploma,217,188,405
 Graduate,2111,3392,5503
 Postgraduate diploma,46,86,132
 Master degree,25,64,89
 PhD,2,3,5
 Other,46,21,67
 Total,58003,64505,122508
NotApp :,10787,*,*
AREA # 080502,Htilin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1451,1864,3315
 Grade 1,479,597,1076
 Grade 2,700,886,1586
 Grade 3,886,1301,2187
 Grade 4,1253,1881,3134
 Grade 5,8633,10035,18668
 Grade 6,1329,1288,2617
 Grade 7,1116,952,2068
 Grade 8,1227,1036,2263
 Grade 9,1108,922,2030
 Grade 10,956,948,1904
 Grade 11,1113,1070,2183
 College,254,337,591
 Vocational training,23,30,53
 Undergraduate diploma,51,53,104
 Graduate,601,1081,1682
 Postgraduate diploma,11,37,48
 Master degree,3,5,8
 PhD,-,1,1
 Other,11,6,17
 Total,21205,24330,45535
NotApp :,3331,*,*
AREA # 080503,Saw,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2003,2273,4276
 Grade 1,445,476,921
 Grade 2,445,543,988
 Grade 3,651,926,1577
 Grade 4,971,1324,2295
 Grade 5,5027,5714,10741
 Grade 6,1003,989,1992
 Grade 7,883,805,1688
 Grade 8,1133,883,2016
 Grade 9,825,631,1456
 Grade 10,1223,1201,2424
