Sex,Industry_Not_stated,"Industry_Crop_and_animal_production,_hunting_and_related_service_activities",Industry_Forestry_and_logging,Industry_Fishing_and_aquaculture,Industry_Mining_of_coal_and_lignite,Industry_Extraction_of_crude_petroleum_and_natural_gas,Industry_Mining_of_metal_ores,Industry_Other_mining_and_quarrying,Industry_Mining_support_service_activities,Industry_Manufacture_of_food_products,Industry_Manufacture_of_beverages,Industry_Manufacture_of_tobacco_products,Industry_Manufacture_of_textiles,Industry_Manufacture_of_wearing_apparel,Industry_Manufacture_of_leather_and_related_products,"Industry_Manufacture_of_wood_and_of_products_of_wood_and_cork,_except_furniture;_manufacture_of_articles_of_straw_and_plaiting_materials",Industry_Manufacture_of_paper_and_paper_products,Industry_Printing_and_reproduction_of_recorded_media,Industry_Manufacture_of_coke_and_refined_petroleum_products,Industry_Manufacture_of_chemicals_and_chemical_products,Industry_Manufacture_of_basic_pharmaceutical_products_and_pharmaceutical_preparations,Industry_Manufacture_of_rubber_and_plastics_products,Industry_Manufacture_of_other_non-metallic_mineral_products,Industry_Manufacture_of_basic_metals,"Industry_Manufacture_of_fabricated_metal_products,_except_machinery_and_equipment","Industry_Manufacture_of_computer,_electronic_and_optical_products",Industry_Manufacture_of_electrical_equipment,Industry_Manufacture_of_machinery_and_equipment_n.e.c.,"Industry_Manufacture_of_motor_vehicles,_trailers_and_semi-trailers",Industry_Manufacture_of_other_transport_equipment,Industry_Manufacture_of_furniture,Industry_Other_manufacturing,Industry_Repair_and_installation_of_machinery_and_equipment,Industry_Making_jewellery,"Industry_Electricity,_gas,_steam_and_air_conditioning_supply","Industry_Water_collection,_treatment_and_supply",Industry_Sewerage,"Industry_Waste_collection,_treatment_and_disposal_activities;_materials_recovery",Industry_Remediation_activities_and_other_waste_management_services,Industry_Construction_of_buildings,Industry_Civil_engineering,Industry_Specialized_construction_activities,Industry_Wholesale_and_retail_trade_and_repair_of_motor_vehicles_and_motorcycles,"Industry_Wholesale_trade,_except_of_motor_vehicles_and_motorcycles","Industry_Retail_trade,_except_of_motor_vehicles_and_motorcycles",Industry_Land_transport_and_transport_via_pipelines,Industry_Water_transport,Industry_Air_transport,Industry_Warehousing_and_support_activities_for_transportation,Industry_Postal_and_courier_activities,Industry_Accommodation,Industry_Food_and_beverage_service_activities,Industry_Publishing_activities,"Industry_Motion_picture,_video_and_television_programme_production,_sound_recording_and_music_publishing_activities",Industry_Programming_and_broadcasting_activities,Industry_Telecommunications,"Industry_Computer_programming,_consultancy_and_related_activities",Industry_Information_service_activities,"Industry_Financial_service_activities,_except_insurance_and_pension_funding","Industry_Insurance,_reinsurance_and_pension_funding,_except_compulsory_social_security",Industry_Activities_auxiliary_to_financial_service_and_insurance_activities,Industry_Real_estate_activities,Industry_Legal_and_accounting_activities,Industry_Activities_of_head_offices;_management_consultancy_activities,Industry_Architectural_and_engineering_activities;_technical_testing_and_analysis,Industry_Scientific_research_and_development,Industry_Advertising_and_market_research,"Industry_Other_professional,_scientific_and_technical_activities",Industry_Veterinary_activities,Industry_Rental_and_leasing_activities,Industry_Employment_activities,"Industry_Travel_agency,_tour_operator,_reservation_service_and_related_activities",Industry_Security_and_investigation_activities,Industry_Services_to_buildings_and_landscape_activities,"Industry_Office_administrative,_office_support_and_other_business_support_activities",Industry_Public_administration_and_defence;_compulsory_social_security,Industry_Education,Industry_Human_health_activities,Industry_Residential_care_activities,Industry_Social_work_activities_without_accommodation,"Industry_Creative,_arts_and_entertainment_activities","Industry_Libraries,_archives,_museums_and_other_cultural_activities",Industry_Gambling_and_betting_activities,Industry_Sports_activities_and_amusement_and_recreation_activities,Industry_Activities_of_membership_organizations,Industry_Repair_of_computers_and_personal_and_household_goods,Industry_Other_personal_service_activities,Industry_Activities_of_households_as_employers_of_domestic_personnel,Industry_Undifferentiated_goods-_and_services-producing_activities_of_private_households_for_own_use,Industry_Activities_of_extraterritorial_organizations_and_bodies,Industry_Total,Township,MIMU_code
 Male,432,9807,940,268,17,141,-,467,-,50,7,-,-,17,-,106,-,1,41,-,2,-,13,5,31,-,-,2,-,1,225,107,73,-,16,19,-,-,-,847,55,38,98,18,562,646,428,2,220,-,10,260,6,-,-,10,-,-,10,-,11,-,9,1,-,-,-,14,-,10,-,-,3,1,58,325,96,37,2,11,13,-,4,3,9,8,208,85,70,1,16977,Kalewa,MMR005028
 Female,1507,7851,198,28,18,51,1,114,1,34,8,1,29,251,-,828,1,1,44,-,3,-,17,-,4,-,-,-,-,-,21,111,1,-,1,6,-,-,-,211,59,16,4,8,1886,65,52,1,113,-,5,1007,4,1,-,7,2,-,10,-,3,-,2,-,-,-,-,4,-,15,-,-,-,-,12,149,359,63,2,1,2,-,3,6,6,-,172,120,63,-,15563,Kalewa,MMR005028
 Total,1939,17658,1138,296,35,192,1,581,1,84,15,1,29,268,-,934,1,2,85,-,5,-,30,5,35,-,-,2,-,1,246,218,74,-,17,25,-,-,-,1058,114,54,102,26,2448,711,480,3,333,-,15,1267,10,1,-,17,2,-,20,-,14,-,11,1,-,-,-,18,-,25,-,-,3,1,70,474,455,100,4,12,15,-,7,9,15,8,380,205,133,1,32540,Kalewa,MMR005028
 Male,1443,20472,801,414,-,12,1,247,-,74,6,-,2,17,-,63,-,3,-,-,-,-,1,10,19,-,-,-,-,-,52,146,46,-,7,19,-,-,-,659,2,-,74,10,511,136,301,-,59,-,1,144,5,1,-,5,-,-,7,-,3,-,3,-,-,-,-,14,4,4,-,-,1,-,55,339,297,45,1,6,31,-,4,4,9,7,372,279,26,1,27275,Mingin,MMR005029
 Female,1576,12927,92,94,-,8,-,63,-,30,2,-,2,283,-,63,-,2,-,-,-,-,-,1,1,-,-,-,-,-,3,146,1,-,-,1,-,1,-,39,2,-,3,18,1409,11,28,-,117,-,-,616,-,-,-,4,-,-,11,-,2,-,2,-,-,-,-,3,-,6,-,-,-,1,16,128,576,67,-,4,6,-,2,-,6,-,235,152,13,1,18774,Mingin,MMR005029
 Total,3019,33399,893,508,-,20,1,310,-,104,8,-,4,300,-,126,-,5,-,-,-,-,1,11,20,-,-,-,-,-,55,292,47,-,7,20,-,1,-,698,4,-,77,28,1920,147,329,-,176,-,1,760,5,1,-,9,-,-,18,-,5,-,5,-,-,-,-,17,4,10,-,-,1,1,71,467,873,112,1,10,37,-,6,4,15,7,607,431,39,2,46049,Mingin,MMR005029
 Male,1214,6524,293,44,-,1,-,5,-,73,14,-,12,43,1,21,-,6,3,1,1,2,8,17,41,-,-,3,-,1,258,123,94,-,47,37,-,-,-,1398,27,102,186,17,1757,794,4,-,126,1,8,708,5,-,-,14,-,-,17,-,11,-,6,-,-,-,-,15,2,4,-,-,15,2,23,396,109,58,25,86,36,-,15,9,91,11,309,211,50,2,15537,Tamu,MMR005030
 Female,730,2507,32,9,-,1,-,-,-,28,13,1,24,315,-,24,-,1,1,-,-,-,1,2,2,-,-,-,-,-,10,55,3,-,2,7,-,1,-,162,11,6,5,4,2101,35,-,-,6,-,4,1190,6,-,-,6,-,-,16,-,11,-,6,-,-,-,-,3,-,7,-,-,2,2,10,161,459,75,7,21,1,1,4,1,35,-,114,129,40,3,8413,Tamu,MMR005030
 Total,1944,9031,325,53,-,2,-,5,-,101,27,1,36,358,1,45,-,7,4,1,1,2,9,19,43,-,-,3,-,1,268,178,97,-,49,44,-,1,-,1560,38,108,191,21,3858,829,4,-,132,1,12,1898,11,-,-,20,-,-,33,-,22,-,12,-,-,-,-,18,2,11,-,-,17,4,33,557,568,133,32,107,37,1,19,10,126,11,423,340,90,5,23950,Tamu,MMR005030
 Male,171,3396,32,15,-,1,-,4,-,7,-,-,-,-,-,3,-,-,-,-,-,-,-,1,1,-,-,-,-,-,17,14,1,-,2,1,-,-,-,93,15,14,22,3,60,34,-,-,-,-,-,16,1,-,1,9,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,128,46,12,10,19,-,-,1,-,19,-,20,16,-,-,4207,Myothit(ST),MMR005030
 Female,127,1263,1,-,-,-,-,2,-,1,-,-,1,17,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,26,12,13,-,-,85,-,-,-,-,-,-,25,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,13,63,20,2,1,-,-,1,-,2,-,-,-,-,-,1688,Myothit(ST),MMR005030
 Total,298,4659,33,15,-,1,-,6,-,8,-,-,1,17,-,3,-,-,-,-,-,-,2,2,1,-,-,-,-,-,17,20,1,-,2,1,-,-,-,119,27,27,22,3,145,34,-,-,-,-,-,41,1,-,1,11,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,141,109,32,12,20,-,-,2,-,21,-,20,16,-,-,5895,Myothit(ST),MMR005030
 Male,255,7029,139,67,3,-,-,8,-,39,4,-,3,10,-,13,-,-,6,-,-,-,1,7,11,-,1,-,-,-,58,29,20,-,7,4,-,1,-,351,2,3,61,4,157,127,-,-,7,-,-,143,-,1,-,6,1,-,-,-,-,-,-,-,-,-,-,8,1,1,-,-,4,-,2,97,61,20,40,42,1,-,1,-,76,6,46,45,3,-,9032,Khampat(ST),MMR005030
 Female,267,2479,1,6,2,-,-,1,-,10,2,-,9,79,-,10,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,6,-,-,-,-,-,-,-,26,-,-,-,8,307,-,-,-,-,-,-,293,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,1,20,143,19,3,9,-,-,1,-,15,-,27,14,-,-,3768,Khampat(ST),MMR005030
 Total,522,9508,140,73,5,-,-,9,-,49,6,-,12,89,-,23,-,-,8,-,-,-,1,7,12,-,1,-,-,-,58,35,20,-,7,4,-,1,-,377,2,3,61,12,464,127,-,-,7,-,-,436,-,1,-,9,2,-,-,-,-,-,-,-,-,-,-,11,1,1,-,-,4,-,3,117,204,39,43,51,1,-,2,-,91,6,73,59,3,-,12800,Khampat(ST),MMR005030
 Male,694,8640,369,360,12,17,-,1016,5,122,10,-,-,12,-,53,-,3,10,-,-,-,-,6,21,-,1,-,-,-,43,41,41,-,10,16,-,-,-,516,13,21,44,4,307,141,125,-,16,-,8,123,4,1,1,7,-,-,6,-,2,-,-,-,-,-,-,13,2,4,-,-,3,1,32,509,107,32,1,6,9,-,1,2,13,7,393,239,18,-,14233,Mawlaik,MMR005031
 Female,1496,7142,75,86,5,-,1,182,6,37,3,-,2,141,-,84,-,1,3,-,-,-,-,-,2,-,-,-,-,-,1,24,1,-,3,-,-,-,-,117,2,1,2,7,1035,20,12,-,26,-,4,528,2,-,-,3,-,-,2,-,3,-,2,-,-,-,-,8,-,6,-,-,-,-,3,187,316,52,-,2,-,-,-,1,5,-,247,165,14,-,12067,Mawlaik,MMR005031
 Total,2190,15782,444,446,17,17,1,1198,11,159,13,-,2,153,-,137,-,4,13,-,-,-,-,6,23,-,1,-,-,-,44,65,42,-,13,16,-,-,-,633,15,22,46,11,1342,161,137,-,42,-,12,651,6,1,1,10,-,-,8,-,5,-,2,-,-,-,-,21,2,10,-,-,3,1,35,696,423,84,1,8,9,-,1,3,18,7,640,404,32,-,26300,Mawlaik,MMR005031
 Male,1214,20519,390,574,1,-,-,1020,-,109,1,-,-,19,-,132,-,2,-,-,1,-,-,6,51,-,-,-,-,3,27,104,55,-,29,29,-,-,1,842,11,14,101,11,718,409,217,-,110,-,3,188,6,1,-,5,-,-,10,1,-,-,2,-,1,-,1,17,7,1,-,-,1,-,91,462,270,43,5,3,12,-,1,-,13,9,211,155,9,-,28248,Phaungpyin,MMR005032
 Female,3183,18156,38,312,-,-,-,279,1,50,1,-,4,345,-,207,-,2,-,-,1,-,-,1,8,-,-,-,-,-,2,126,5,-,4,1,-,-,-,90,10,-,7,41,1939,74,52,-,53,-,3,656,2,-,-,10,-,-,4,1,2,-,-,-,-,-,-,10,1,1,-,1,-,-,42,130,596,71,1,2,-,-,2,-,8,-,132,100,15,-,26782,Phaungpyin,MMR005032
 Total,4397,38675,428,886,1,-,-,1299,1,159,2,-,4,364,-,339,-,4,-,-,2,-,-,7,59,-,-,-,-,3,29,230,60,-,33,30,-,-,1,932,21,14,108,52,2657,483,269,-,163,-,6,844,8,1,-,15,-,-,14,2,2,-,2,-,1,-,1,27,8,2,-,1,1,-,133,592,866,114,6,5,12,-,3,-,21,9,343,255,24,-,55030,Phaungpyin,MMR005032
 Male,1241,4430,67,270,-,2,1,1599,-,7,1,-,1,7,-,50,-,-,-,-,-,-,-,-,14,-,-,-,-,-,10,13,27,-,5,7,-,-,1,313,7,3,44,6,621,211,113,6,40,-,5,134,3,-,-,10,1,1,8,-,3,1,2,-,-,-,-,6,1,3,-,-,-,2,18,509,60,24,14,65,2,1,1,1,34,2,50,51,3,-,10132,Hkamti,MMR005033
 Female,1201,3091,19,106,-,-,1,343,-,3,3,-,-,50,-,56,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,1,-,1,4,-,-,-,36,1,2,1,7,1008,6,11,-,10,-,2,275,3,-,-,3,-,-,7,-,2,1,1,-,-,-,-,2,-,2,-,-,-,-,3,157,206,54,3,17,-,-,-,-,8,-,26,32,2,-,6771,Hkamti,MMR005033
 Total,2442,7521,86,376,-,2,2,1942,-,10,4,-,1,57,-,106,-,-,-,-,-,-,-,-,15,-,-,-,-,-,10,16,28,-,6,11,-,-,1,349,8,5,45,13,1629,217,124,6,50,-,7,409,6,-,-,13,1,1,15,-,5,2,3,-,-,-,-,8,1,5,-,-,-,2,21,666,266,78,17,82,2,1,1,1,42,2,76,83,5,-,16903,Hkamti,MMR005033
 Male,4165,27151,563,715,-,4,-,4108,-,48,6,-,1,31,-,160,-,6,-,-,1,3,5,46,176,-,2,1,-,-,99,141,206,-,34,49,-,-,2,1535,8,26,335,30,2119,994,278,6,145,-,13,588,26,3,-,18,1,-,5,-,1,-,6,-,-,-,-,15,2,11,-,-,9,3,62,668,233,79,7,36,18,1,10,1,18,7,475,517,12,-,46044,Homalin,MMR005034
 Female,3762,15886,47,178,-,-,-,774,-,66,3,-,9,284,-,266,-,-,-,-,-,-,-,5,9,-,-,-,-,-,5,67,9,-,-,2,-,-,1,142,-,1,7,43,3465,45,34,-,57,-,5,1072,4,-,-,12,1,-,5,-,1,-,8,-,-,-,-,4,-,9,-,-,-,2,21,214,938,106,3,10,1,-,4,3,6,2,264,332,7,2,28203,Homalin,MMR005034
 Total,7927,43037,610,893,-,4,-,4882,-,114,9,-,10,315,-,426,-,6,-,-,1,3,5,51,185,-,2,1,-,-,104,208,215,-,34,51,-,-,3,1677,8,27,342,73,5584,1039,312,6,202,-,18,1660,30,3,-,30,2,-,10,-,2,-,14,-,-,-,-,19,2,20,-,-,9,5,83,882,1171,185,10,46,19,1,14,4,24,9,739,849,19,2,74247,Homalin,MMR005034
 Male,117,1537,5,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,17,4,-,1,-,13,16,1,-,-,-,-,-,-,-,-,3,-,-,2,-,-,-,4,-,-,-,-,-,1,-,-,-,-,-,1,80,52,7,14,30,-,-,-,-,13,-,1,2,-,-,1927,Leshi,MMR005035
 Female,140,1480,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,12,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,33,63,16,10,5,-,-,-,-,2,-,-,1,-,-,1776,Leshi,MMR005035
 Total,257,3017,5,-,-,-,-,5,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,18,7,-,1,-,25,16,1,-,-,-,-,-,-,-,-,5,-,-,2,-,-,-,4,-,-,-,-,-,1,-,-,-,-,-,2,113,115,23,24,35,-,-,-,-,15,-,1,3,-,-,3703,Leshi,MMR005035
 Male,638,10734,12,-,-,-,1,11,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,-,2,1,-,-,-,63,9,2,6,-,16,25,1,-,1,-,-,2,-,1,-,5,-,-,5,-,-,-,3,-,-,-,-,-,-,-,-,-,1,-,4,221,67,8,4,36,-,-,-,-,25,-,2,2,2,-,11915,Lahe,MMR005036
 Female,780,10255,-,-,-,-,-,2,-,1,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,1,-,-,42,-,-,-,-,-,-,2,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,40,83,27,1,3,-,-,-,-,4,-,20,11,3,-,11300,Lahe,MMR005036
 Total,1418,20989,12,-,-,-,1,13,-,2,-,-,3,3,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,-,2,1,-,-,-,70,16,3,6,-,58,25,1,-,1,-,-,4,-,2,-,7,-,-,5,-,-,-,3,-,-,-,-,-,-,-,-,-,1,-,6,261,150,35,5,39,-,-,-,-,29,-,22,13,5,-,23215,Lahe,MMR005036
 Male,209,1826,2,1,-,-,-,26,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,25,-,-,2,1,31,10,1,-,-,-,-,4,1,1,-,4,-,-,1,-,-,-,1,-,-,-,-,2,1,-,-,-,1,-,1,174,37,9,4,14,-,-,-,-,8,-,11,3,-,-,2413,Nanyun,MMR005037
 Female,219,1323,-,-,-,-,-,9,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,-,-,-,-,-,-,3,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,36,35,17,2,1,-,-,-,-,6,-,1,4,-,-,1735,Nanyun,MMR005037
 Total,428,3149,2,1,-,-,-,35,-,1,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,25,-,-,2,1,100,10,1,-,-,-,-,7,1,1,-,6,-,-,3,-,-,-,1,-,-,-,-,2,1,-,-,-,1,-,3,210,72,26,6,15,-,-,-,-,14,-,12,7,-,-,4148,Nanyun,MMR005037
 Male,8,254,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,8,-,-,1,-,10,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,8,2,2,6,-,-,-,-,3,-,-,-,-,-,359,Mobaingluk(ST),MMR005035
 Female,-,297,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,14,5,-,1,-,-,-,-,-,-,-,-,-,-,348,Mobaingluk(ST),MMR005035
 Total,8,551,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,8,-,-,1,-,33,1,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,22,7,2,7,-,-,-,-,3,-,-,-,-,-,707,Mobaingluk(ST),MMR005035
 Male,33,858,3,-,-,-,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,1,-,-,-,-,-,-,11,1,-,-,-,11,15,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,30,4,3,13,-,-,-,-,5,-,2,2,-,-,1031,Sonemara(ST),MMR005035
 Female,38,1069,-,-,-,-,-,-,-,-,-,-,1,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11,65,11,1,1,-,-,-,-,-,-,-,-,-,-,1217,Sonemara(ST),MMR005035
 Total,71,1927,3,-,-,-,-,1,-,-,-,-,1,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,1,-,-,-,-,-,-,11,1,-,-,-,17,15,-,-,-,-,-,3,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37,95,15,4,14,-,-,-,-,5,-,2,2,-,-,2248,Sonemara(ST),MMR005035
 Male,250,955,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,5,5,6,-,1,3,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,5,-,-,-,-,-,-,-,1,-,-,-,-,-,1274,Htanparkway(ST),MMR005036
 Female,169,693,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,4,2,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,8,3,-,-,-,-,-,-,-,-,-,-,-,-,891,Htanparkway(ST),MMR005036
 Total,419,1648,15,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,7,9,8,-,2,7,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,13,3,-,-,-,-,-,-,1,-,-,-,-,-,2165,Htanparkway(ST),MMR005036
 Male,472,3168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,67,44,4,5,15,-,-,-,-,8,-,1,-,-,-,3811,Pansaung(ST),MMR005037
 Female,385,2469,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,35,12,2,5,-,-,-,-,-,-,-,1,-,-,2942,Pansaung(ST),MMR005037
 Total,857,5637,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,80,79,16,7,20,-,-,-,-,8,-,1,1,-,-,6753,Pansaung(ST),MMR005037
 Male,1269,4639,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,12,-,1,7,-,-,-,-,4,-,-,1,-,-,5953,Donhee(ST),MMR005037
 Female,1455,2711,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,9,-,-,-,-,-,-,-,1,-,-,-,-,-,4182,Donhee(ST),MMR005037
 Total,2724,7350,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,21,-,1,7,-,-,-,-,5,-,-,1,-,-,10135,Donhee(ST),MMR005037
 Male,1305,25759,212,119,-,24,2,576,93,350,405,10,12,53,2,273,2,6,9,-,6,5,33,21,74,1,-,-,-,3,160,278,121,-,24,89,-,-,-,1860,30,27,153,41,1877,662,135,-,107,-,5,494,13,3,-,8,1,-,5,1,1,-,6,-,-,-,-,71,6,14,-,1,13,1,198,908,383,66,-,-,30,1,16,2,14,9,542,968,31,2,38732,Yinmarpin,MMR005016
 Female,2517,23866,43,23,-,2,1,48,14,298,85,88,260,708,1,381,-,5,1,1,4,2,17,9,5,-,-,-,-,-,37,244,3,-,3,5,-,-,-,166,29,8,5,18,3745,11,10,-,65,-,2,1100,3,1,-,8,-,-,11,-,2,-,7,-,-,-,-,8,1,16,-,-,-,1,111,395,909,136,-,-,4,-,2,2,11,1,500,818,14,1,36792,Yinmarpin,MMR005016
 Total,3822,49625,255,142,-,26,3,624,107,648,490,98,272,761,3,654,2,11,10,1,10,7,50,30,79,1,-,-,-,3,197,522,124,-,27,94,-,-,-,2026,59,35,158,59,5622,673,145,-,172,-,7,1594,16,4,-,16,1,-,16,1,3,-,13,-,-,-,-,79,7,30,-,1,13,2,309,1303,1292,202,-,-,34,1,18,4,25,10,1042,1786,45,3,75524,Yinmarpin,MMR005016
 Male,2251,14917,225,175,1,11,15,259,251,268,150,14,74,43,5,454,-,4,4,-,3,2,23,32,188,-,1,11,-,4,77,180,241,-,50,56,-,-,-,1721,29,29,184,199,1408,851,435,-,531,-,3,613,8,2,-,10,1,-,20,-,3,1,7,-,-,-,-,21,2,17,-,-,35,3,1284,1387,273,67,2,-,41,-,16,2,33,6,722,1011,41,1,31008,Salingyi,MMR005018
 Female,2739,11638,17,91,-,2,3,57,89,214,12,174,655,700,2,3182,-,3,-,4,3,1,11,2,13,-,-,-,-,-,1,256,6,-,5,-,-,-,1,310,19,2,11,19,2331,22,11,-,21,-,-,1283,4,-,-,2,-,-,13,-,3,-,6,-,-,-,-,4,1,3,-,1,1,-,471,885,741,120,-,-,4,-,4,1,13,-,404,637,18,-,27246,Salingyi,MMR005018
 Total,4990,26555,242,266,1,13,18,316,340,482,162,188,729,743,7,3636,-,7,4,4,6,3,34,34,201,-,1,11,-,4,78,436,247,-,55,56,-,-,1,2031,48,31,195,218,3739,873,446,-,552,-,3,1896,12,2,-,12,1,-,33,-,6,1,13,-,-,-,-,25,3,20,-,1,36,3,1755,2272,1014,187,2,-,45,-,20,3,46,6,1126,1648,59,1,58254,Salingyi,MMR005018
 Male,1498,27171,512,62,-,258,-,196,1,108,76,3,10,28,-,596,-,3,6,-,1,4,9,14,65,1,1,2,-,38,132,230,75,-,18,31,-,-,-,1328,40,22,142,18,1125,541,5,-,75,-,2,437,5,3,1,5,-,-,12,1,-,-,3,-,-,1,-,22,6,6,-,-,4,1,13,516,377,74,-,4,25,-,3,7,7,3,354,774,12,1,37124,Palae,MMR005019
 Female,4772,17469,140,11,-,22,-,11,-,113,1,4,210,612,-,892,-,-,3,1,2,-,4,3,4,-,-,1,1,5,1,240,7,-,-,1,-,-,-,130,31,7,2,10,2017,9,-,-,8,-,1,686,3,-,-,1,-,-,6,-,1,1,3,-,-,-,-,2,2,2,-,-,-,-,4,156,670,109,-,-,5,-,2,2,7,-,194,452,16,1,29070,Palae,MMR005019
