Death_sex,Death_age_Under_1,Death_age_1,Death_age_2,Death_age_3,Death_age_4,Death_age_5,Death_age_6,Death_age_7,Death_age_8,Death_age_9,Death_age_10,Death_age_11,Death_age_12,Death_age_13,Death_age_14,Death_age_15,Death_age_16,Death_age_17,Death_age_18,Death_age_19,Death_age_20,Death_age_21,Death_age_22,Death_age_23,Death_age_24,Death_age_25,Death_age_26,Death_age_27,Death_age_28,Death_age_29,Death_age_30,Death_age_31,Death_age_32,Death_age_33,Death_age_34,Death_age_35,Death_age_36,Death_age_37,Death_age_38,Death_age_39,Death_age_40,Death_age_41,Death_age_42,Death_age_43,Death_age_44,Death_age_45,Death_age_46,Death_age_47,Death_age_48,Death_age_49,Death_age_50,Death_age_51,Death_age_52,Death_age_53,Death_age_54,Death_age_55,Death_age_56,Death_age_57,Death_age_58,Death_age_59,Death_age_60,Death_age_61,Death_age_62,Death_age_63,Death_age_64,Death_age_65,Death_age_66,Death_age_67,Death_age_68,Death_age_69,Death_age_70,Death_age_71,Death_age_72,Death_age_73,Death_age_74,Death_age_75,Death_age_76,Death_age_77,Death_age_78,Death_age_79,Death_age_80,Death_age_81,Death_age_82,Death_age_83,Death_age_84,Death_age_85,Death_age_86,Death_age_87,Death_age_88,Death_age_89,Death_age_90_and_above,Death_age_Total,Township,MIMU_code
 Total,3,-,-,-,1,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,2,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,18,Myohla(ST),MMR001011
 Male,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,11,Lwe`ge`(ST),MMR001012
 Female,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,1,10,Lwe`ge`(ST),MMR001012
 Total,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,1,1,-,-,-,-,-,-,1,1,-,1,1,-,-,1,-,-,2,1,-,-,-,-,1,-,-,-,1,21,Lwe`ge`(ST),MMR001012
 Male,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,1,-,-,-,2,1,-,-,-,-,3,-,-,-,-,1,-,1,1,-,-,2,1,1,-,-,1,-,-,-,-,-,-,-,2,-,-,-,1,-,1,2,1,-,1,1,-,-,2,-,-,-,-,-,1,-,-,-,-,-,1,-,34,Dotphoneyan(ST),MMR001012
 Female,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,2,-,-,-,-,-,1,1,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,1,17,Dotphoneyan(ST),MMR001012
 Total,4,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,1,-,-,-,2,1,1,-,-,-,3,-,-,-,-,1,-,1,1,-,1,2,1,1,-,-,2,-,1,-,-,1,-,-,2,-,-,-,3,-,1,2,1,-,2,2,-,1,2,1,-,-,-,1,1,-,-,-,-,-,1,1,51,Dotphoneyan(ST),MMR001012
 Male,32,9,4,-,-,1,1,1,1,3,1,1,1,-,1,1,-,1,-,-,-,1,5,2,-,-,4,1,5,1,3,6,3,-,1,1,1,-,3,1,5,-,3,3,4,1,2,2,1,1,2,-,1,1,-,2,2,-,-,2,3,1,1,-,-,1,2,1,-,-,-,3,2,2,-,2,1,-,-,2,2,-,-,-,-,1,-,1,-,2,3,158,Putao,MMR001014
 Female,25,11,7,3,1,1,-,5,2,-,2,-,2,1,1,1,1,-,1,1,4,-,-,1,-,2,2,2,4,2,2,-,1,1,-,2,-,1,-,-,3,-,1,-,1,1,2,1,1,-,1,1,3,-,-,-,-,1,1,-,1,-,1,2,2,-,-,-,-,1,3,-,-,1,-,2,-,-,2,-,1,1,-,-,-,-,-,1,-,-,4,128,Putao,MMR001014
 Total,57,20,11,3,1,2,1,6,3,3,3,1,3,1,2,2,1,1,1,1,4,1,5,3,-,2,6,3,9,3,5,6,4,1,1,3,1,1,3,1,8,-,4,3,5,2,4,3,2,1,3,1,4,1,-,2,2,1,1,2,4,1,2,2,2,1,2,1,-,1,3,3,2,3,-,4,1,-,2,2,3,1,-,-,-,1,-,2,-,2,7,286,Putao,MMR001014
 Male,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,Sumprabum,MMR001015
 Female,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,6,Sumprabum,MMR001015
 Total,1,1,1,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,13,Sumprabum,MMR001015
 Male,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,1,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,2,-,-,-,-,-,-,-,2,-,1,-,1,2,-,-,-,-,3,-,-,1,-,-,-,-,-,1,-,25,Machanbaw,MMR001016
 Female,2,-,1,2,2,-,-,1,2,1,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,2,-,1,1,-,-,2,-,-,-,-,-,1,1,1,-,-,-,-,1,-,1,-,1,-,-,1,-,-,-,-,-,-,2,33,Machanbaw,MMR001016
 Total,2,-,1,3,2,-,-,1,2,1,-,1,-,-,-,-,-,1,-,1,-,-,-,2,-,1,-,1,-,-,-,-,-,-,1,2,1,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,1,3,-,1,2,-,2,2,-,-,-,-,-,1,3,1,1,-,1,2,1,-,1,-,4,-,-,2,-,-,-,-,-,1,2,58,Machanbaw,MMR001016
 Male,-,2,1,-,1,1,2,-,-,-,1,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,-,1,-,-,-,1,1,-,1,-,-,6,-,2,-,-,2,-,1,-,-,1,-,-,-,-,1,-,-,3,-,1,-,1,-,-,1,-,1,-,1,4,44,Khaunglanphoo,MMR001018
 Female,2,2,1,2,-,1,3,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,1,-,-,-,1,2,-,-,1,-,-,-,-,-,2,-,2,1,-,-,1,2,-,-,1,-,1,-,1,-,1,-,1,-,-,-,-,-,-,36,Khaunglanphoo,MMR001018
 Total,2,4,2,2,1,2,5,1,-,1,1,1,-,1,-,-,1,-,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,4,1,1,-,1,-,1,1,1,3,-,-,7,-,2,-,-,2,2,1,2,1,1,-,1,2,-,1,1,-,4,-,2,-,2,-,1,1,-,1,-,1,4,80,Khaunglanphoo,MMR001018
 Male,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,1,-,-,-,-,-,1,12,Naungmoon,MMR001017
 Female,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,7,Naungmoon,MMR001017
 Total,-,-,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,1,-,-,1,-,-,-,-,1,-,1,1,-,2,1,-,-,1,-,-,-,-,-,1,19,Naungmoon,MMR001017
 Male,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,5,Pannandin(ST),MMR001017
 Female,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,Pannandin(ST),MMR001017
 Total,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,11,Pannandin(ST),MMR001017
 Male,13,3,1,4,2,2,3,-,2,-,2,3,1,-,1,2,3,1,6,2,1,3,2,2,2,2,2,-,1,6,5,8,11,9,6,8,10,4,3,7,5,7,8,6,7,3,6,4,5,5,5,8,6,8,10,3,4,8,7,3,4,4,9,7,7,2,2,3,9,2,2,3,2,5,1,4,3,5,5,2,3,4,3,5,2,3,2,2,-,2,4,372,Loikaw,MMR002001
 Female,27,5,2,-,2,1,-,2,-,-,1,-,1,1,2,1,1,-,1,1,1,-,1,1,1,1,-,1,1,-,3,-,1,1,-,1,-,2,1,4,4,2,4,2,-,-,2,3,2,2,2,1,3,3,4,2,2,1,2,4,4,1,1,2,1,4,1,2,1,-,3,1,3,2,3,8,2,2,4,5,4,-,1,3,4,2,-,1,1,2,13,194,Loikaw,MMR002001
 Total,40,8,3,4,4,3,3,2,2,-,3,3,2,1,3,3,4,1,7,3,2,3,3,3,3,3,2,1,2,6,8,8,12,10,6,9,10,6,4,11,9,9,12,8,7,3,8,7,7,7,7,9,9,11,14,5,6,9,9,7,8,5,10,9,8,6,3,5,10,2,5,4,5,7,4,12,5,7,9,7,7,4,4,8,6,5,2,3,1,4,17,566,Loikaw,MMR002001
 Male,36,5,1,-,2,1,1,-,-,2,1,-,-,-,-,-,-,-,3,1,-,1,4,5,1,1,1,-,2,3,4,-,2,2,-,3,1,1,5,4,2,-,3,2,4,3,4,4,1,-,-,1,5,4,1,3,6,5,4,1,4,4,2,3,2,4,-,3,5,3,3,1,1,4,3,1,-,2,5,2,2,-,2,2,-,4,2,1,3,1,5,220,Dimawso,MMR002002
 Female,30,3,1,1,2,2,1,1,-,-,-,1,-,-,-,1,-,1,1,2,-,1,-,-,-,1,-,-,-,1,1,1,-,-,-,1,2,1,-,-,2,1,1,3,-,4,-,-,4,2,3,-,2,1,1,-,-,2,-,1,2,1,4,-,4,3,1,1,2,5,2,-,4,1,1,6,5,1,1,-,1,-,3,-,5,5,2,-,-,-,3,146,Dimawso,MMR002002
 Total,66,8,2,1,4,3,2,1,-,2,1,1,-,-,-,1,-,1,4,3,-,2,4,5,1,2,1,-,2,4,5,1,2,2,-,4,3,2,5,4,4,1,4,5,4,7,4,4,5,2,3,1,7,5,2,3,6,7,4,2,6,5,6,3,6,7,1,4,7,8,5,1,5,5,4,7,5,3,6,2,3,-,5,2,5,9,4,1,3,1,8,366,Dimawso,MMR002002
 Male,16,3,2,1,1,2,-,1,1,2,-,-,1,-,1,-,-,1,-,-,-,2,1,1,1,-,1,-,1,-,-,2,1,3,1,1,-,-,1,-,1,-,-,1,-,3,1,1,2,-,-,-,-,2,3,4,1,1,1,1,3,2,1,-,1,1,-,1,-,2,1,-,2,-,1,2,-,-,-,1,2,-,-,2,1,-,1,-,-,-,4,98,Phruso,MMR002003
 Female,11,2,3,2,1,1,-,-,-,1,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,1,-,-,-,-,-,-,1,-,1,1,1,-,-,-,-,-,2,-,1,1,-,3,1,-,-,1,3,-,1,-,-,2,-,-,-,-,4,-,1,-,-,-,1,-,-,-,2,2,-,-,1,2,1,-,-,-,2,64,Phruso,MMR002003
 Total,27,5,5,3,2,3,-,1,1,3,-,-,3,2,1,-,-,1,-,-,-,2,1,1,1,-,2,-,1,-,2,2,1,4,1,1,-,-,1,-,2,-,1,2,1,3,1,1,2,-,2,-,1,3,3,7,2,1,1,2,6,2,2,-,1,3,-,1,-,2,5,-,3,-,1,2,1,-,-,1,4,2,-,2,2,2,2,-,-,-,6,162,Phruso,MMR002003
 Male,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,1,-,-,-,1,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,23,Shardaw,MMR002004
 Female,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,9,Shardaw,MMR002004
 Total,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,2,-,-,-,1,-,-,3,-,-,-,-,-,-,2,-,-,-,-,-,-,1,1,-,-,-,2,-,-,-,1,-,3,-,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,32,Shardaw,MMR002004
 Male,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,10,Bawlakhe,MMR002005
 Female,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,Bawlakhe,MMR002005
 Total,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,-,-,-,1,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,Bawlakhe,MMR002005
 Male,12,4,-,-,-,1,1,-,-,-,2,-,-,-,1,-,-,1,1,-,-,-,-,2,1,-,1,-,-,1,1,3,-,1,-,1,1,-,-,-,1,1,1,-,2,1,2,-,-,2,4,1,1,1,-,-,-,-,1,1,1,1,1,1,1,-,-,-,-,-,1,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,63,Parsaung,MMR002006
 Female,8,1,1,-,-,3,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,2,1,1,1,-,1,3,-,1,-,-,-,-,-,1,2,1,-,1,-,-,-,-,-,-,-,-,1,-,2,1,-,-,-,1,-,-,-,-,1,43,Parsaung,MMR002006
 Total,20,5,1,-,-,4,1,-,-,-,2,1,-,-,1,-,1,1,1,-,1,-,-,3,1,-,1,-,-,1,1,3,1,2,-,1,1,1,-,-,1,1,1,-,2,1,2,1,-,2,5,3,2,2,1,-,1,3,1,2,1,1,1,1,1,1,2,1,-,1,1,-,-,1,-,-,-,1,1,-,2,1,-,1,-,1,-,-,-,-,1,106,Parsaung,MMR002006
 Male,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,13,Meisi,MMR002007
 Female,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,7,Meisi,MMR002007
 Total,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,2,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,20,Meisi,MMR002007
 Male,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,1,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,12,Ywathit(ST),MMR002005
 Female,2,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,9,Ywathit(ST),MMR002005
 Total,3,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,1,1,-,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,1,21,Ywathit(ST),MMR002005
 Male,63,18,7,3,3,2,7,5,1,3,1,1,-,5,8,2,5,9,3,4,7,3,5,4,5,6,11,4,11,15,11,11,11,7,13,12,20,7,23,23,31,14,17,14,12,26,17,22,16,11,20,20,21,20,12,26,21,17,21,17,19,8,20,27,20,30,18,15,16,13,22,13,16,17,10,16,13,16,21,5,22,5,10,15,13,17,4,4,4,4,23,1190,Hpa-an,MMR003001
 Female,40,8,6,6,9,1,2,1,2,1,3,1,3,1,2,4,5,3,4,3,4,3,3,4,6,4,5,3,1,3,1,1,5,2,4,7,8,13,9,5,12,9,15,12,7,11,9,11,14,3,8,7,10,12,15,15,11,13,11,10,17,8,15,18,11,25,12,20,12,17,21,12,24,15,15,20,21,16,24,6,20,11,15,22,16,23,11,5,10,6,45,924,Hpa-an,MMR003001
 Total,103,26,13,9,12,3,9,6,3,4,4,2,3,6,10,6,10,12,7,7,11,6,8,8,11,10,16,7,12,18,12,12,16,9,17,19,28,20,32,28,43,23,32,26,19,37,26,33,30,14,28,27,31,32,27,41,32,30,32,27,36,16,35,45,31,55,30,35,28,30,43,25,40,32,25,36,34,32,45,11,42,16,25,37,29,40,15,9,14,10,68,2114,Hpa-an,MMR003001
 Male,25,6,1,2,1,-,-,2,-,1,-,1,-,1,1,1,2,2,2,2,4,2,7,1,2,6,2,5,5,4,2,2,2,4,5,7,3,1,2,2,8,3,13,7,4,10,11,1,7,8,6,6,4,7,4,8,13,5,5,5,9,4,9,10,8,11,3,9,8,6,8,6,12,7,7,8,6,6,5,1,7,2,4,3,4,3,1,3,1,2,7,433,Hlaingbwe,MMR003002
 Female,16,6,-,1,2,1,2,3,1,-,1,1,-,-,1,-,1,-,1,-,-,-,-,-,1,-,-,4,-,2,3,6,1,2,-,3,3,2,1,3,2,3,5,1,4,4,2,4,6,1,5,1,3,4,5,1,3,1,5,3,10,5,3,7,5,7,6,9,5,5,13,1,5,7,3,9,4,4,10,1,10,2,2,5,4,10,1,7,1,4,9,305,Hlaingbwe,MMR003002
 Total,41,12,1,3,3,1,2,5,1,1,1,2,-,1,2,1,3,2,3,2,4,2,7,1,3,6,2,9,5,6,5,8,3,6,5,10,6,3,3,5,10,6,18,8,8,14,13,5,13,9,11,7,7,11,9,9,16,6,10,8,19,9,12,17,13,18,9,18,13,11,21,7,17,14,10,17,10,10,15,2,17,4,6,8,8,13,2,10,2,6,16,738,Hlaingbwe,MMR003002
 Male,11,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1,-,3,1,-,-,2,-,-,1,-,-,-,1,1,-,1,-,2,-,-,-,-,-,-,2,1,-,-,1,-,-,1,2,-,1,2,-,1,1,1,-,-,-,1,3,-,-,1,-,1,1,-,-,-,-,1,1,-,-,-,1,-,-,51,Thandaunggyi,MMR003004
 Female,12,-,1,1,-,-,-,-,1,1,-,2,1,1,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,1,1,-,-,1,-,-,-,-,-,2,-,-,-,2,1,-,-,1,1,-,-,3,45,Thandaunggyi,MMR003004
 Total,23,2,1,1,-,-,-,-,1,1,-,2,1,1,-,2,-,1,-,-,-,1,-,-,1,-,-,1,-,3,1,-,-,2,1,-,1,-,1,-,1,1,-,1,-,2,-,-,1,1,1,1,2,1,-,-,1,-,-,3,2,-,1,2,1,1,1,1,1,1,-,1,4,-,-,1,-,1,3,-,-,-,2,2,1,-,1,1,1,-,3,96,Thandaunggyi,MMR003004
 Male,13,6,-,1,1,1,2,-,-,1,1,-,1,-,-,-,-,1,1,-,1,-,2,1,1,1,2,-,2,-,2,-,1,1,-,2,1,-,2,2,4,2,2,1,4,2,1,1,2,1,2,2,1,9,2,3,3,3,6,2,5,1,4,3,3,5,2,4,3,-,6,-,2,1,1,4,5,3,3,1,5,2,2,1,1,-,1,-,-,1,5,177,Paingkyon(ST),MMR003002
 Female,8,3,2,1,-,-,1,-,1,1,-,-,-,1,-,1,-,-,-,-,1,1,1,-,-,-,-,1,-,1,-,2,2,1,1,4,1,3,2,1,1,1,-,1,5,5,1,-,3,-,2,-,1,1,2,3,3,2,2,1,11,1,1,2,-,5,1,4,2,1,4,1,5,4,4,2,7,5,1,-,9,1,3,1,1,5,2,1,-,-,4,163,Paingkyon(ST),MMR003002
 Total,21,9,2,2,1,1,3,-,1,2,1,-,1,1,-,1,-,1,1,-,2,1,3,1,1,1,2,1,2,1,2,2,3,2,1,6,2,3,4,3,5,3,2,2,9,7,2,1,5,1,4,2,2,10,4,6,6,5,8,3,16,2,5,5,3,10,3,8,5,1,10,1,7,5,5,6,12,8,4,1,14,3,5,2,2,5,3,1,-,1,9,340,Paingkyon(ST),MMR003002
 Male,11,4,-,1,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,1,2,-,-,-,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,Shan Ywathit(ST),MMR003002
 Female,8,4,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,21,Shan Ywathit(ST),MMR003002
 Total,19,8,-,1,1,-,1,3,1,-,1,-,-,-,-,-,-,-,-,1,1,-,1,-,-,1,1,1,1,-,-,-,-,-,-,2,-,-,-,-,1,2,-,-,-,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,57,Shan Ywathit(ST),MMR003002
 Male,43,10,2,4,3,1,2,3,1,-,-,-,-,1,2,-,1,1,1,3,-,-,2,1,-,1,-,1,-,-,-,1,2,1,-,2,1,-,1,2,3,1,2,-,-,2,1,2,-,1,3,1,3,1,-,2,2,1,2,2,1,1,1,-,2,2,2,1,2,-,1,2,2,-,1,-,-,-,1,-,-,-,1,-,2,-,-,-,-,-,2,146,Leiktho(ST),MMR003004
 Female,23,9,2,4,1,-,2,3,2,1,1,-,1,-,3,-,1,-,1,1,2,2,-,-,-,1,-,-,-,1,2,2,1,1,1,1,-,-,-,1,-,1,-,-,-,2,-,-,2,3,1,-,-,3,-,1,3,-,1,-,-,1,-,-,-,1,-,1,4,-,2,-,1,1,1,3,1,-,1,-,-,-,1,-,-,-,1,-,-,-,-,106,Leiktho(ST),MMR003004
