Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Bungalow/Brick house,354,944,1298,Bilin,MMR011010
 Semi-pacca house,255,1518,1773,Bilin,MMR011010
 Wooden house,2154,21374,23528,Bilin,MMR011010
 Bamboo,736,9617,10353,Bilin,MMR011010
 Hut 2 - 3 years,63,834,897,Bilin,MMR011010
 Hut 1 year,28,430,458,Bilin,MMR011010
 Other,52,218,270,Bilin,MMR011010
 Total,4044,35187,39231,Bilin,MMR011010
 Condominium/Apartment/Flat,737,1452,2189,Sittway,MMR012001
 Bungalow/Brick house,1739,138,1877,Sittway,MMR012001
 Semi-pacca house,1944,158,2102,Sittway,MMR012001
 Wooden house,7230,2921,10151,Sittway,MMR012001
 Bamboo,7011,5194,12205,Sittway,MMR012001
 Hut 2 - 3 years,143,128,271,Sittway,MMR012001
 Hut 1 year,56,105,161,Sittway,MMR012001
 Other,46,34,80,Sittway,MMR012001
 Total,18906,10130,29036,Sittway,MMR012001
 Condominium/Apartment/Flat,16,6,22,Ponnagyun,MMR012002
 Bungalow/Brick house,221,69,290,Ponnagyun,MMR012002
 Semi-pacca house,111,102,213,Ponnagyun,MMR012002
 Wooden house,1098,10220,11318,Ponnagyun,MMR012002
 Bamboo,958,12240,13198,Ponnagyun,MMR012002
 Hut 2 - 3 years,30,149,179,Ponnagyun,MMR012002
 Hut 1 year,11,56,67,Ponnagyun,MMR012002
 Other,21,27,48,Ponnagyun,MMR012002
 Total,2466,22869,25335,Ponnagyun,MMR012002
 Condominium/Apartment/Flat,29,6,35,Pauktaw,MMR012007
 Bungalow/Brick house,82,33,115,Pauktaw,MMR012007
 Semi-pacca house,96,113,209,Pauktaw,MMR012007
 Wooden house,1383,10826,12209,Pauktaw,MMR012007
 Bamboo,877,15833,16710,Pauktaw,MMR012007
 Hut 2 - 3 years,1,561,562,Pauktaw,MMR012007
 Hut 1 year,-,311,311,Pauktaw,MMR012007
 Other,2,391,393,Pauktaw,MMR012007
 Total,2470,28074,30544,Pauktaw,MMR012007
 Condominium/Apartment/Flat,6,247,253,Yethedaung,MMR012008
 Bungalow/Brick house,65,116,181,Yethedaung,MMR012008
 Semi-pacca house,195,202,397,Yethedaung,MMR012008
 Wooden house,450,8511,8961,Yethedaung,MMR012008
 Bamboo,786,13281,14067,Yethedaung,MMR012008
 Hut 2 - 3 years,6,303,309,Yethedaung,MMR012008
 Hut 1 year,2,106,108,Yethedaung,MMR012008
 Other,-,65,65,Yethedaung,MMR012008
 Total,1510,22831,24341,Yethedaung,MMR012008
 Condominium/Apartment/Flat,206,217,423,Myauk U,MMR012003
 Bungalow/Brick house,285,41,326,Myauk U,MMR012003
 Semi-pacca house,178,76,254,Myauk U,MMR012003
 Wooden house,2307,7981,10288,Myauk U,MMR012003
 Bamboo,4223,25309,29532,Myauk U,MMR012003
 Hut 2 - 3 years,45,373,418,Myauk U,MMR012003
 Hut 1 year,26,179,205,Myauk U,MMR012003
 Other,4,75,79,Myauk U,MMR012003
 Total,7274,34251,41525,Myauk U,MMR012003
 Condominium/Apartment/Flat,17,539,556,Kyauktaw,MMR012004
 Bungalow/Brick house,265,162,427,Kyauktaw,MMR012004
 Semi-pacca house,285,176,461,Kyauktaw,MMR012004
 Wooden house,1440,10223,11663,Kyauktaw,MMR012004
 Bamboo,1785,20922,22707,Kyauktaw,MMR012004
 Hut 2 - 3 years,11,426,437,Kyauktaw,MMR012004
 Hut 1 year,9,166,175,Kyauktaw,MMR012004
 Other,27,42,69,Kyauktaw,MMR012004
 Total,3839,32656,36495,Kyauktaw,MMR012004
 Condominium/Apartment/Flat,22,460,482,Minbya,MMR012005
 Bungalow/Brick house,167,65,232,Minbya,MMR012005
 Semi-pacca house,124,102,226,Minbya,MMR012005
 Wooden house,2296,13136,15432,Minbya,MMR012005
 Bamboo,1937,17486,19423,Minbya,MMR012005
 Hut 2 - 3 years,25,495,520,Minbya,MMR012005
 Hut 1 year,13,195,208,Minbya,MMR012005
 Other,31,74,105,Minbya,MMR012005
 Total,4615,32013,36628,Minbya,MMR012005
 Condominium/Apartment/Flat,8,9,17,Myebon,MMR012006
 Bungalow/Brick house,256,147,403,Myebon,MMR012006
 Semi-pacca house,91,250,341,Myebon,MMR012006
 Wooden house,878,16042,16920,Myebon,MMR012006
 Bamboo,869,11214,12083,Myebon,MMR012006
 Hut 2 - 3 years,36,692,728,Myebon,MMR012006
 Hut 1 year,52,232,284,Myebon,MMR012006
 Other,428,135,563,Myebon,MMR012006
 Total,2618,28721,31339,Myebon,MMR012006
 Condominium/Apartment/Flat,242,195,437,Maungtaw,MMR012009
 Bungalow/Brick house,179,49,228,Maungtaw,MMR012009
 Semi-pacca house,230,81,311,Maungtaw,MMR012009
 Wooden house,864,1898,2762,Maungtaw,MMR012009
 Bamboo,684,2773,3457,Maungtaw,MMR012009
 Hut 2 - 3 years,17,9,26,Maungtaw,MMR012009
 Hut 1 year,33,32,65,Maungtaw,MMR012009
 Other,65,39,104,Maungtaw,MMR012009
 Total,2314,5076,7390,Maungtaw,MMR012009
 Condominium/Apartment/Flat,113,1253,1366,Buthidaung,MMR012010
 Bungalow/Brick house,147,47,194,Buthidaung,MMR012010
 Semi-pacca house,133,214,347,Buthidaung,MMR012010
 Wooden house,981,2035,3016,Buthidaung,MMR012010
 Bamboo,638,5540,6178,Buthidaung,MMR012010
 Hut 2 - 3 years,30,71,101,Buthidaung,MMR012010
 Hut 1 year,7,29,36,Buthidaung,MMR012010
 Other,13,13,26,Buthidaung,MMR012010
 Total,2062,9202,11264,Buthidaung,MMR012010
 Condominium/Apartment/Flat,24,-,24,Taungpyoletwe(ST),MMR012009
 Bungalow/Brick house,-,4,4,Taungpyoletwe(ST),MMR012009
 Semi-pacca house,5,5,10,Taungpyoletwe(ST),MMR012009
 Wooden house,117,106,223,Taungpyoletwe(ST),MMR012009
 Bamboo,7,210,217,Taungpyoletwe(ST),MMR012009
 Hut 2 - 3 years,1,9,10,Taungpyoletwe(ST),MMR012009
 Hut 1 year,-,1,1,Taungpyoletwe(ST),MMR012009
 Other,4,13,17,Taungpyoletwe(ST),MMR012009
 Total,158,348,506,Taungpyoletwe(ST),MMR012009
 Condominium/Apartment/Flat,249,573,822,Kyaukpyu,MMR012011
 Bungalow/Brick house,423,120,543,Kyaukpyu,MMR012011
 Semi-pacca house,598,370,968,Kyaukpyu,MMR012011
 Wooden house,2040,23837,25877,Kyaukpyu,MMR012011
 Bamboo,922,7543,8465,Kyaukpyu,MMR012011
 Hut 2 - 3 years,15,395,410,Kyaukpyu,MMR012011
 Hut 1 year,3,108,111,Kyaukpyu,MMR012011
 Other,4,64,68,Kyaukpyu,MMR012011
 Total,4254,33010,37264,Kyaukpyu,MMR012011
 Condominium/Apartment/Flat,16,16,32,Mannaung,MMR017011
 Bungalow/Brick house,44,16,60,Mannaung,MMR017011
 Semi-pacca house,226,203,429,Mannaung,MMR017011
 Wooden house,839,11191,12030,Mannaung,MMR017011
 Bamboo,171,1925,2096,Mannaung,MMR017011
 Hut 2 - 3 years,2,57,59,Mannaung,MMR017011
 Hut 1 year,7,12,19,Mannaung,MMR017011
 Other,1,9,10,Mannaung,MMR017011
 Total,1306,13429,14735,Mannaung,MMR017011
 Condominium/Apartment/Flat,4,4,8,Yanbye,MMR012013
 Bungalow/Brick house,14,30,44,Yanbye,MMR012013
 Semi-pacca house,79,137,216,Yanbye,MMR012013
 Wooden house,1898,17781,19679,Yanbye,MMR012013
 Bamboo,244,2077,2321,Yanbye,MMR012013
 Hut 2 - 3 years,7,94,101,Yanbye,MMR012013
 Hut 1 year,1,37,38,Yanbye,MMR012013
 Other,1,10,11,Yanbye,MMR012013
 Total,2248,20170,22418,Yanbye,MMR012013
 Condominium/Apartment/Flat,136,781,917,An,MMR012014
 Bungalow/Brick house,99,119,218,An,MMR012014
 Semi-pacca house,136,262,398,An,MMR012014
 Wooden house,782,14471,15253,An,MMR012014
 Bamboo,663,9265,9928,An,MMR012014
 Hut 2 - 3 years,19,388,407,An,MMR012014
 Hut 1 year,35,151,186,An,MMR012014
 Other,8,44,52,An,MMR012014
 Total,1878,25481,27359,An,MMR012014
 Condominium/Apartment/Flat,83,334,417,Thandwe,MMR012015
 Bungalow/Brick house,210,302,512,Thandwe,MMR012015
 Semi-pacca house,377,759,1136,Thandwe,MMR012015
 Wooden house,2498,21683,24181,Thandwe,MMR012015
 Bamboo,120,3680,3800,Thandwe,MMR012015
 Hut 2 - 3 years,19,580,599,Thandwe,MMR012015
 Hut 1 year,12,288,300,Thandwe,MMR012015
 Other,31,99,130,Thandwe,MMR012015
 Total,3350,27725,31075,Thandwe,MMR012015
 Condominium/Apartment/Flat,421,13,434,Toungup,MMR012016
 Bungalow/Brick house,189,37,226,Toungup,MMR012016
 Semi-pacca house,642,86,728,Toungup,MMR012016
 Wooden house,4501,14956,19457,Toungup,MMR012016
 Bamboo,351,2964,3315,Toungup,MMR012016
 Hut 2 - 3 years,19,681,700,Toungup,MMR012016
 Hut 1 year,5,202,207,Toungup,MMR012016
 Other,50,122,172,Toungup,MMR012016
 Total,6178,19061,25239,Toungup,MMR012016
 Condominium/Apartment/Flat,169,12,181,Gwa,MMR012017
 Bungalow/Brick house,97,43,140,Gwa,MMR012017
 Semi-pacca house,138,96,234,Gwa,MMR012017
 Wooden house,1478,6119,7597,Gwa,MMR012017
 Bamboo,521,1914,2435,Gwa,MMR012017
 Hut 2 - 3 years,53,314,367,Gwa,MMR012017
 Hut 1 year,29,236,265,Gwa,MMR012017
 Other,3,23,26,Gwa,MMR012017
 Total,2488,8757,11245,Gwa,MMR012017
 Condominium/Apartment/Flat,25,3,28,Maei(ST),MMR012016
 Bungalow/Brick house,15,5,20,Maei(ST),MMR012016
 Semi-pacca house,42,33,75,Maei(ST),MMR012016
 Wooden house,819,7276,8095,Maei(ST),MMR012016
 Bamboo,306,1204,1510,Maei(ST),MMR012016
 Hut 2 - 3 years,1,170,171,Maei(ST),MMR012016
 Hut 1 year,7,35,42,Maei(ST),MMR012016
 Other,-,12,12,Maei(ST),MMR012016
 Total,1215,8738,9953,Maei(ST),MMR012016
 Condominium/Apartment/Flat,15,1,16,Kyeintali(ST),MMR012017
 Bungalow/Brick house,26,6,32,Kyeintali(ST),MMR012017
 Semi-pacca house,60,57,117,Kyeintali(ST),MMR012017
 Wooden house,1192,3572,4764,Kyeintali(ST),MMR012017
 Bamboo,160,755,915,Kyeintali(ST),MMR012017
 Hut 2 - 3 years,13,138,151,Kyeintali(ST),MMR012017
 Hut 1 year,3,68,71,Kyeintali(ST),MMR012017
 Other,6,9,15,Kyeintali(ST),MMR012017
 Total,1475,4606,6081,Kyeintali(ST),MMR012017
 Condominium/Apartment/Flat,6174,-,6174,Insein,MMR013001
 Bungalow/Brick house,6785,-,6785,Insein,MMR013001
 Semi-pacca house,12274,-,12274,Insein,MMR013001
 Wooden house,28627,-,28627,Insein,MMR013001
 Bamboo,6746,-,6746,Insein,MMR013001
 Hut 2 - 3 years,260,-,260,Insein,MMR013001
 Hut 1 year,226,-,226,Insein,MMR013001
 Other,584,-,584,Insein,MMR013001
 Total,61676,-,61676,Insein,MMR013001
 Condominium/Apartment/Flat,6631,1773,8404,Mingaladon,MMR013002
 Bungalow/Brick house,4779,2666,7445,Mingaladon,MMR013002
 Semi-pacca house,7341,2988,10329,Mingaladon,MMR013002
 Wooden house,17296,11379,28675,Mingaladon,MMR013002
 Bamboo,4600,5218,9818,Mingaladon,MMR013002
 Hut 2 - 3 years,181,252,433,Mingaladon,MMR013002
 Hut 1 year,103,113,216,Mingaladon,MMR013002
 Other,710,273,983,Mingaladon,MMR013002
 Total,41641,24662,66303,Mingaladon,MMR013002
 Condominium/Apartment/Flat,64,4073,4137,Hmawby,MMR013003
 Bungalow/Brick house,925,3255,4180,Hmawby,MMR013003
 Semi-pacca house,622,3662,4284,Hmawby,MMR013003
 Wooden house,3059,20868,23927,Hmawby,MMR013003
 Bamboo,1137,17049,18186,Hmawby,MMR013003
 Hut 2 - 3 years,57,581,638,Hmawby,MMR013003
 Hut 1 year,24,552,576,Hmawby,MMR013003
 Other,54,487,541,Hmawby,MMR013003
 Total,5942,50527,56469,Hmawby,MMR013003
 Condominium/Apartment/Flat,292,3687,3979,Hlegu,MMR013004
 Bungalow/Brick house,1216,2594,3810,Hlegu,MMR013004
 Semi-pacca house,1188,2552,3740,Hlegu,MMR013004
 Wooden house,4265,22770,27035,Hlegu,MMR013004
 Bamboo,1584,15329,16913,Hlegu,MMR013004
 Hut 2 - 3 years,48,1102,1150,Hlegu,MMR013004
 Hut 1 year,25,831,856,Hlegu,MMR013004
 Other,131,409,540,Hlegu,MMR013004
 Total,8749,49274,58023,Hlegu,MMR013004
 Condominium/Apartment/Flat,608,929,1537,Taikkyi,MMR013005
 Bungalow/Brick house,1590,670,2260,Taikkyi,MMR013005
 Semi-pacca house,2159,1773,3932,Taikkyi,MMR013005
 Wooden house,10064,23261,33325,Taikkyi,MMR013005
 Bamboo,4954,17936,22890,Taikkyi,MMR013005
 Hut 2 - 3 years,408,1010,1418,Taikkyi,MMR013005
 Hut 1 year,421,902,1323,Taikkyi,MMR013005
 Other,155,159,314,Taikkyi,MMR013005
 Total,20359,46640,66999,Taikkyi,MMR013005
 Condominium/Apartment/Flat,22,136,158,Htantabin,MMR013006
 Bungalow/Brick house,109,511,620,Htantabin,MMR013006
 Semi-pacca house,110,981,1091,Htantabin,MMR013006
 Wooden house,1091,14850,15941,Htantabin,MMR013006
 Bamboo,536,14671,15207,Htantabin,MMR013006
 Hut 2 - 3 years,32,389,421,Htantabin,MMR013006
 Hut 1 year,57,278,335,Htantabin,MMR013006
 Other,99,339,438,Htantabin,MMR013006
 Total,2056,32155,34211,Htantabin,MMR013006
 Condominium/Apartment/Flat,1369,1331,2700,Shwepyitha,MMR013007
 Bungalow/Brick house,4940,898,5838,Shwepyitha,MMR013007
 Semi-pacca house,5436,1885,7321,Shwepyitha,MMR013007
 Wooden house,31494,7285,38779,Shwepyitha,MMR013007
 Bamboo,13032,3246,16278,Shwepyitha,MMR013007
 Hut 2 - 3 years,990,84,1074,Shwepyitha,MMR013007
 Hut 1 year,656,56,712,Shwepyitha,MMR013007
 Other,594,479,1073,Shwepyitha,MMR013007
 Total,58511,15264,73775,Shwepyitha,MMR013007
 Condominium/Apartment/Flat,9725,4564,14289,Hlinethaya,MMR013008
 Bungalow/Brick house,7907,1699,9606,Hlinethaya,MMR013008
 Semi-pacca house,14241,2920,17161,Hlinethaya,MMR013008
 Wooden house,52532,17006,69538,Hlinethaya,MMR013008
 Bamboo,16788,15514,32302,Hlinethaya,MMR013008
 Hut 2 - 3 years,769,1354,2123,Hlinethaya,MMR013008
 Hut 1 year,561,1038,1599,Hlinethaya,MMR013008
 Other,1284,809,2093,Hlinethaya,MMR013008
 Total,103807,44904,148711,Hlinethaya,MMR013008
 Condominium/Apartment/Flat,15549,-,15549,Thingangyun,MMR013009
 Bungalow/Brick house,4792,-,4792,Thingangyun,MMR013009
 Semi-pacca house,5110,-,5110,Thingangyun,MMR013009
 Wooden house,15908,-,15908,Thingangyun,MMR013009
 Bamboo,1028,-,1028,Thingangyun,MMR013009
 Hut 2 - 3 years,231,-,231,Thingangyun,MMR013009
 Hut 1 year,139,-,139,Thingangyun,MMR013009
 Other,563,-,563,Thingangyun,MMR013009
 Total,43320,-,43320,Thingangyun,MMR013009
 Condominium/Apartment/Flat,6460,-,6460,Yankin,MMR013010
 Bungalow/Brick house,1837,-,1837,Yankin,MMR013010
 Semi-pacca house,1620,-,1620,Yankin,MMR013010
 Wooden house,4290,-,4290,Yankin,MMR013010
 Bamboo,194,-,194,Yankin,MMR013010
 Hut 2 - 3 years,76,-,76,Yankin,MMR013010
 Hut 1 year,23,-,23,Yankin,MMR013010
 Other,137,-,137,Yankin,MMR013010
 Total,14637,-,14637,Yankin,MMR013010
 Condominium/Apartment/Flat,2299,-,2299,South Okkalapa,MMR013011
 Bungalow/Brick house,5809,-,5809,South Okkalapa,MMR013011
 Semi-pacca house,7093,-,7093,South Okkalapa,MMR013011
 Wooden house,15829,-,15829,South Okkalapa,MMR013011
 Bamboo,1348,-,1348,South Okkalapa,MMR013011
 Hut 2 - 3 years,89,-,89,South Okkalapa,MMR013011
 Hut 1 year,34,-,34,South Okkalapa,MMR013011
 Other,224,-,224,South Okkalapa,MMR013011
 Total,32725,-,32725,South Okkalapa,MMR013011
 Condominium/Apartment/Flat,2096,-,2096,North Okkalapa,MMR013012
 Bungalow/Brick house,8633,-,8633,North Okkalapa,MMR013012
 Semi-pacca house,10642,-,10642,North Okkalapa,MMR013012
 Wooden house,36459,-,36459,North Okkalapa,MMR013012
 Bamboo,5679,-,5679,North Okkalapa,MMR013012
 Hut 2 - 3 years,430,-,430,North Okkalapa,MMR013012
 Hut 1 year,90,-,90,North Okkalapa,MMR013012
 Other,727,-,727,North Okkalapa,MMR013012
 Total,64756,-,64756,North Okkalapa,MMR013012
 Condominium/Apartment/Flat,3868,-,3868,Thakayta,MMR013013
 Bungalow/Brick house,3454,-,3454,Thakayta,MMR013013
 Semi-pacca house,8015,-,8015,Thakayta,MMR013013
 Wooden house,27030,-,27030,Thakayta,MMR013013
 Bamboo,2174,-,2174,Thakayta,MMR013013
 Hut 2 - 3 years,181,-,181,Thakayta,MMR013013
 Hut 1 year,225,-,225,Thakayta,MMR013013
 Other,509,-,509,Thakayta,MMR013013
 Total,45456,-,45456,Thakayta,MMR013013
 Condominium/Apartment/Flat,2356,-,2356,Dawbon,MMR013014
 Bungalow/Brick house,948,-,948,Dawbon,MMR013014
 Semi-pacca house,2263,-,2263,Dawbon,MMR013014
 Wooden house,8088,-,8088,Dawbon,MMR013014
 Bamboo,579,-,579,Dawbon,MMR013014
 Hut 2 - 3 years,13,-,13,Dawbon,MMR013014
 Hut 1 year,28,-,28,Dawbon,MMR013014
 Other,134,-,134,Dawbon,MMR013014
 Total,14409,-,14409,Dawbon,MMR013014
 Condominium/Apartment/Flat,29261,-,29261,Tamway,MMR013015
 Bungalow/Brick house,2022,-,2022,Tamway,MMR013015
 Semi-pacca house,1340,-,1340,Tamway,MMR013015
 Wooden house,2362,-,2362,Tamway,MMR013015
 Bamboo,172,-,172,Tamway,MMR013015
 Hut 2 - 3 years,58,-,58,Tamway,MMR013015
 Hut 1 year,15,-,15,Tamway,MMR013015
 Other,130,-,130,Tamway,MMR013015
 Total,35360,-,35360,Tamway,MMR013015
 Condominium/Apartment/Flat,8460,-,8460,Pazuntaung,MMR013016
 Bungalow/Brick house,434,-,434,Pazuntaung,MMR013016
 Semi-pacca house,769,-,769,Pazuntaung,MMR013016
 Wooden house,480,-,480,Pazuntaung,MMR013016
 Bamboo,107,-,107,Pazuntaung,MMR013016
 Hut 2 - 3 years,6,-,6,Pazuntaung,MMR013016
 Hut 1 year,1,-,1,Pazuntaung,MMR013016
 Other,49,-,49,Pazuntaung,MMR013016
 Total,10306,-,10306,Pazuntaung,MMR013016
 Condominium/Apartment/Flat,6986,-,6986,Botahtaung,MMR013017
 Bungalow/Brick house,277,-,277,Botahtaung,MMR013017
 Semi-pacca house,290,-,290,Botahtaung,MMR013017
 Wooden house,630,-,630,Botahtaung,MMR013017
 Bamboo,159,-,159,Botahtaung,MMR013017
 Hut 1 year,5,-,5,Botahtaung,MMR013017
 Other,50,-,50,Botahtaung,MMR013017
 Total,8397,-,8397,Botahtaung,MMR013017
 Condominium/Apartment/Flat,3291,-,3291,Dagon Myothit(South),MMR013018
 Bungalow/Brick house,4855,-,4855,Dagon Myothit(South),MMR013018
 Semi-pacca house,7098,-,7098,Dagon Myothit(South),MMR013018
 Wooden house,46860,-,46860,Dagon Myothit(South),MMR013018
 Bamboo,11790,-,11790,Dagon Myothit(South),MMR013018
 Hut 2 - 3 years,874,-,874,Dagon Myothit(South),MMR013018
 Hut 1 year,685,-,685,Dagon Myothit(South),MMR013018
 Other,1531,-,1531,Dagon Myothit(South),MMR013018
 Total,76984,-,76984,Dagon Myothit(South),MMR013018
 Condominium/Apartment/Flat,3274,-,3274,Dagon Myothit(North),MMR013019
 Bungalow/Brick house,9769,-,9769,Dagon Myothit(North),MMR013019
 Semi-pacca house,5323,-,5323,Dagon Myothit(North),MMR013019
 Wooden house,19201,-,19201,Dagon Myothit(North),MMR013019
 Bamboo,3761,-,3761,Dagon Myothit(North),MMR013019
 Hut 2 - 3 years,326,-,326,Dagon Myothit(North),MMR013019
 Hut 1 year,153,-,153,Dagon Myothit(North),MMR013019
 Other,897,-,897,Dagon Myothit(North),MMR013019
 Total,42704,-,42704,Dagon Myothit(North),MMR013019
 Condominium/Apartment/Flat,775,16,791,Dagon Myothit(East),MMR013020
 Bungalow/Brick house,3250,30,3280,Dagon Myothit(East),MMR013020
 Semi-pacca house,2847,46,2893,Dagon Myothit(East),MMR013020
 Wooden house,16689,772,17461,Dagon Myothit(East),MMR013020
 Bamboo,6588,906,7494,Dagon Myothit(East),MMR013020
 Hut 2 - 3 years,630,115,745,Dagon Myothit(East),MMR013020
 Hut 1 year,484,89,573,Dagon Myothit(East),MMR013020
 Other,632,44,676,Dagon Myothit(East),MMR013020
 Total,31895,2018,33913,Dagon Myothit(East),MMR013020
 Condominium/Apartment/Flat,8905,67,8972,Dagon Myothit(Seik),MMR013021
 Bungalow/Brick house,686,94,780,Dagon Myothit(Seik),MMR013021
 Semi-pacca house,1106,207,1313,Dagon Myothit(Seik),MMR013021
 Wooden house,11312,1206,12518,Dagon Myothit(Seik),MMR013021
 Bamboo,10689,2037,12726,Dagon Myothit(Seik),MMR013021
 Hut 2 - 3 years,640,56,696,Dagon Myothit(Seik),MMR013021
 Hut 1 year,528,22,550,Dagon Myothit(Seik),MMR013021
 Other,306,44,350,Dagon Myothit(Seik),MMR013021
 Total,34172,3733,37905,Dagon Myothit(Seik),MMR013021
 Condominium/Apartment/Flat,19003,-,19003,Mingala Taungnyunt,MMR013022
 Bungalow/Brick house,698,-,698,Mingala Taungnyunt,MMR013022
 Semi-pacca house,1003,-,1003,Mingala Taungnyunt,MMR013022
 Wooden house,4537,-,4537,Mingala Taungnyunt,MMR013022
 Bamboo,433,-,433,Mingala Taungnyunt,MMR013022
 Hut 2 - 3 years,56,-,56,Mingala Taungnyunt,MMR013022
 Hut 1 year,45,-,45,Mingala Taungnyunt,MMR013022
 Other,143,-,143,Mingala Taungnyunt,MMR013022
 Total,25918,-,25918,Mingala Taungnyunt,MMR013022
 Condominium/Apartment/Flat,1137,1960,3097,Thanlyin,MMR013023
 Bungalow/Brick house,3055,2021,5076,Thanlyin,MMR013023
 Semi-pacca house,2804,2765,5569,Thanlyin,MMR013023
 Wooden house,8642,18209,26851,Thanlyin,MMR013023
 Bamboo,2605,16960,19565,Thanlyin,MMR013023
 Hut 2 - 3 years,76,436,512,Thanlyin,MMR013023
 Hut 1 year,50,307,357,Thanlyin,MMR013023
 Other,340,230,570,Thanlyin,MMR013023
 Total,18709,42888,61597,Thanlyin,MMR013023
 Condominium/Apartment/Flat,314,307,621,Kyauktan,MMR013024
 Bungalow/Brick house,870,482,1352,Kyauktan,MMR013024
 Semi-pacca house,1257,917,2174,Kyauktan,MMR013024
 Wooden house,4274,8665,12939,Kyauktan,MMR013024
 Bamboo,3032,11815,14847,Kyauktan,MMR013024
 Hut 2 - 3 years,43,576,619,Kyauktan,MMR013024
 Hut 1 year,41,276,317,Kyauktan,MMR013024
 Other,33,74,107,Kyauktan,MMR013024
 Total,9864,23112,32976,Kyauktan,MMR013024
 Condominium/Apartment/Flat,49,10,59,Thongwa,MMR013025
 Bungalow/Brick house,524,491,1015,Thongwa,MMR013025
 Semi-pacca house,688,1273,1961,Thongwa,MMR013025
 Wooden house,3566,14119,17685,Thongwa,MMR013025
 Bamboo,1710,16453,18163,Thongwa,MMR013025
 Hut 2 - 3 years,56,518,574,Thongwa,MMR013025
 Hut 1 year,68,309,377,Thongwa,MMR013025
 Other,95,158,253,Thongwa,MMR013025
 Total,6756,33331,40087,Thongwa,MMR013025
 Condominium/Apartment/Flat,80,21,101,Khayan,MMR013026
 Bungalow/Brick house,500,342,842,Khayan,MMR013026
 Semi-pacca house,767,1067,1834,Khayan,MMR013026
 Wooden house,4306,14086,18392,Khayan,MMR013026
 Bamboo,1914,15302,17216,Khayan,MMR013026
 Hut 2 - 3 years,189,351,540,Khayan,MMR013026
 Hut 1 year,95,246,341,Khayan,MMR013026
 Other,27,21,48,Khayan,MMR013026
 Total,7878,31436,39314,Khayan,MMR013026
 Condominium/Apartment/Flat,36,172,208,Twantay,MMR013027
 Bungalow/Brick house,985,681,1666,Twantay,MMR013027
 Semi-pacca house,1026,1155,2181,Twantay,MMR013027
 Wooden house,3664,14448,18112,Twantay,MMR013027
 Bamboo,3417,24180,27597,Twantay,MMR013027
 Hut 2 - 3 years,32,1114,1146,Twantay,MMR013027
 Hut 1 year,24,579,603,Twantay,MMR013027
 Other,13,76,89,Twantay,MMR013027
 Total,9197,42405,51602,Twantay,MMR013027
 Condominium/Apartment/Flat,40,79,119,Kawhmu,MMR013028
 Bungalow/Brick house,105,534,639,Kawhmu,MMR013028
 Semi-pacca house,120,662,782,Kawhmu,MMR013028
 Wooden house,967,8318,9285,Kawhmu,MMR013028
 Bamboo,942,16938,17880,Kawhmu,MMR013028
 Hut 2 - 3 years,41,655,696,Kawhmu,MMR013028
 Hut 1 year,9,310,319,Kawhmu,MMR013028
 Other,7,65,72,Kawhmu,MMR013028
 Total,2231,27561,29792,Kawhmu,MMR013028
 Condominium/Apartment/Flat,83,12,95,Kungyangon,MMR013029
 Bungalow/Brick house,586,311,897,Kungyangon,MMR013029
 Semi-pacca house,250,506,756,Kungyangon,MMR013029
 Wooden house,2090,9185,11275,Kungyangon,MMR013029
 Bamboo,874,13783,14657,Kungyangon,MMR013029
 Hut 2 - 3 years,46,266,312,Kungyangon,MMR013029
 Hut 1 year,21,223,244,Kungyangon,MMR013029
 Other,8,108,116,Kungyangon,MMR013029
 Total,3958,24394,28352,Kungyangon,MMR013029
 Condominium/Apartment/Flat,279,142,421,Dala,MMR013030
 Bungalow/Brick house,582,54,636,Dala,MMR013030
 Semi-pacca house,1104,174,1278,Dala,MMR013030
 Wooden house,13623,5326,18949,Dala,MMR013030
 Bamboo,8791,6407,15198,Dala,MMR013030
 Hut 2 - 3 years,311,178,489,Dala,MMR013030
 Hut 1 year,389,126,515,Dala,MMR013030
 Other,252,174,426,Dala,MMR013030
 Total,25331,12581,37912,Dala,MMR013030
 Condominium/Apartment/Flat,49,-,49,Cocogyun,MMR013032
 Bungalow/Brick house,14,-,14,Cocogyun,MMR013032
 Semi-pacca house,9,-,9,Cocogyun,MMR013032
 Wooden house,167,-,167,Cocogyun,MMR013032
 Bamboo,5,-,5,Cocogyun,MMR013032
 Hut 2 - 3 years,95,-,95,Cocogyun,MMR013032
 Hut 1 year,2,-,2,Cocogyun,MMR013032
 Other,10,-,10,Cocogyun,MMR013032
 Total,351,-,351,Cocogyun,MMR013032
 Condominium/Apartment/Flat,21,2,23,Tada(ST),MMR013024
 Bungalow/Brick house,45,51,96,Tada(ST),MMR013024
 Semi-pacca house,142,159,301,Tada(ST),MMR013024
 Wooden house,1080,2194,3274,Tada(ST),MMR013024
 Bamboo,1168,4179,5347,Tada(ST),MMR013024
 Hut 2 - 3 years,23,281,304,Tada(ST),MMR013024
 Hut 1 year,8,115,123,Tada(ST),MMR013024
 Other,3,22,25,Tada(ST),MMR013024
 Total,2490,7003,9493,Tada(ST),MMR013024
 Condominium/Apartment/Flat,5913,-,5913,Kyauktada,MMR013033
 Bungalow/Brick house,175,-,175,Kyauktada,MMR013033
 Semi-pacca house,13,-,13,Kyauktada,MMR013033
